uniqPlot;swrad_m1;swrad_m2;swrad_m3;swrad_m4;swrad_m5;swrad_m6;swrad_m7;swrad_m8;swrad_m9;swrad_m10;swrad_m11;swrad_m12;elev;slope;aspect
pasqu_1860_b;NA;NA;NA;NA;NA;14.55080605;16.56254578;14.36256027;10.27570248;6.461834431;NA;NA;2708.088057;13.70338239;146.2657298
pasqu_1860_c;NA;NA;NA;NA;NA;14.26580429;16.17635155;14.04192543;10.09952068;6.411135197;NA;NA;2692.710677;18.83255344;160.371673
pasqu_1860_d;NA;NA;NA;NA;NA;14.21451473;16.15601349;13.97817707;9.986023903;6.275131702;NA;NA;2675.326075;14.80157107;136.4045667
pasqu_1860_e;NA;NA;NA;NA;NA;14.52110672;16.51707458;14.32464409;10.2640028;6.468144417;NA;NA;2671.665212;13.5182196;154.4620853
pasqu_1965_a;NA;NA;NA;NA;NA;14.56409264;16.52799988;14.32982922;10.31185627;6.510255814;NA;NA;2714.272548;11.25354542;212.3623726
pasqu_1965_b;NA;NA;NA;NA;NA;14.40443325;16.40418243;14.15464592;10.06229973;6.232366562;NA;NA;2711.01081;2.553326822;352.190385
pasqu_1965_c;NA;NA;NA;NA;NA;14.58215714;16.53845596;14.36935139;10.37485218;6.592951775;NA;NA;2706.217246;15.91647795;196.8600587
pasqu_1965_d;NA;NA;NA;NA;NA;14.41866302;16.42756844;14.20758343;10.11412907;6.308427334;NA;NA;2705.67473;9.763428129;123.4473209
pasqu_1965_e;NA;NA;NA;NA;NA;14.29781437;16.23630333;14.05385971;10.08479691;6.365757465;NA;NA;2668.144093;12.22020092;164.4093091
pasqu_1986_a;NA;NA;NA;NA;NA;14.43041134;16.38523293;14.15652275;10.12516499;6.31620121;NA;NA;2681.849992;8.169084694;276.4506723
pasqu_1986_b;NA;NA;NA;NA;NA;14.54330921;16.50817299;14.30047131;10.28357315;6.482021332;NA;NA;2688.907378;10.65147409;215.6462949
