Glacier	Year	Plot	code	lon	lat	time_retreat	ph1	c	n	p	ph	lg_n	lg_p	lg_time	ph.s	time.s	n.s	p.s
agola	1994	a	agola_1994_a1	10.85701	46.15166	24	8.32	11.4506	0	2479.884153	8.32	-4.605170186	7.815967126	3.17805383	1.413956731	-0.69030555	-0.971209888	0.008705957
agola	1994	b	agola_1994_b1	10.85708	46.15178	24	8.36	11.9293	0.0121	1411.394724	8.36	-3.81217767	7.25233366	3.17805383	1.447273133	-0.69030555	-0.328041857	-0.373562113
agola	1994	c	agola_1994_c1	10.85711	46.15197	24	8.59	12.6506	0.035	1029.968398	8.59	-3.101092789	6.937283399	3.17805383	1.638842447	-0.69030555	0.248693805	-0.587235826
agola	1994	d	agola_1994_d1	10.85733	46.15204	24	8.48	12.6584	0.0304	1176.022513	8.48	-3.208925494	7.069893272	3.17805383	1.54722234	-0.69030555	0.161234532	-0.497297021
agola	1994	e	agola_1994_e1	10.8574	46.15222	24	8.67	12.6628	0.0317	1000.507394	8.67	-3.17725415	6.908262544	3.17805383	1.705475252	-0.69030555	0.186922033	-0.60691838
agola	2003	a	agola_2003_a1	10.85741	46.15178	15	8.57	12.2342	0.0298	1706.300255	8.57	-3.223888367	7.442082712	2.708050201	1.622184246	-1.108885341	0.149098678	-0.244870315
agola	2003	b	agola_2003_b1	10.8575	46.15204	15	8.77	12.666	0.0304	1225.424944	8.77	-3.208925494	7.111042956	2.708050201	1.788766258	-1.108885341	0.161234532	-0.46938844
agola	2003	c	agola_2003_c1	10.85772	46.152	15	8.83	12.5706	0.0105	1493.800944	8.83	-3.887330393	7.30907912	2.708050201	1.838740861	-1.108885341	-0.388995558	-0.335076149
agola	2003	d	agola_2003_d1	10.85795	46.15208	15	8.7	12.3263	0.0289	642.6834303	8.7	-3.246761028	6.465652271	2.708050201	1.730462553	-1.108885341	0.130547476	-0.907105975
agola	2017	a	agola_2017_a1	10.85793	46.15157	1	8.3	12.5615	0.0114	4369.956239	8.3	-3.844364357	8.382508274	0	1.397298529	-3.520643501	-0.354147334	0.392946078
agola	2017	b	agola_2017_b1	10.85784	46.15157	1	8.02	12.0013	0.0541	7816.064456	8.02	-2.747310915	8.96393644	0	1.164083713	-3.520643501	0.535633703	0.787282888
agola	2017	c	agola_2017_c1	10.85795	46.15195	1	8.43	12.3773	0.0201	3566.629889	8.43	-3.503230107	8.17937642	0	1.505576837	-3.520643501	-0.077465474	0.255177783
agola	2017	d	agola_2017_d1	10.85807	46.15185	1	8.5	12.547	0.0313	2750.90333	8.5	-3.186892779	7.91968462	0	1.563880541	-3.520643501	0.179104484	0.079049343
agola	2017	e	agola_2017_e1	10.85821	46.15196	1	8.57	12.7197	0.0118	1339.566856	8.57	-3.825845309	7.200101599	0	1.622184246	-3.520643501	-0.339127193	-0.408986995
agola	2017	f	agola_2017_f1	10.85828	46.15191	1	8.63	12.7972	0	1434.566452	8.63	-4.605170186	7.268617958	0	1.672158849	-3.520643501	-0.971209888	-0.362517759
amola	1850	a	amola_1850_a1	10.704174	46.213158	168	6.75	0.4422	0	2284.959064	6.75	-4.605170186	7.734103388	5.123963979	0.106287936	1.042699503	-0.971209888	-0.046815751
amola	1850	b	amola_1850_b1	10.703835	46.213278	168	7.19	0.1374	0	1332.633427	7.19	-4.605170186	7.194912284	5.123963979	0.472768363	1.042699503	-0.971209888	-0.412506498
amola	1850	c	amola_1850_c1	10.703499	46.213338	168	6.11	0.347	0.0264	6689.748289	6.11	-3.313186504	8.808331527	5.123963979	-0.426774502	1.042699503	0.076672134	0.681748364
amola	1850	d	amola_1850_d1	10.703238	46.213423	168	5.88	0.68	0.0454	11306.36294	5.88	-2.893175685	9.333120939	5.123963979	-0.618343816	1.042699503	0.417327975	1.037671579
amola	1850	e	amola_1850_e1	10.702985	46.213657	168	7.43	0.1118	0	906.5681303	7.43	-4.605170186	6.809666185	5.123963979	0.672666777	1.042699503	-0.971209888	-0.673788504
amola	1925	a	amola_1925_a1	10.70055	46.214598	93	8.25	0.0454	0	347.5160546	8.25	-4.605170186	5.850810864	4.532599493	1.355653026	0.516037137	-0.971209888	-1.324104347
amola	1925	b	amola_1925_b1	10.700605	46.214667	93	7.92	0.0367	0	506.1698715	7.92	-4.605170186	6.226872327	4.532599493	1.080792707	0.516037137	-0.971209888	-1.069051554
amola	1925	c	amola_1925_c1	10.700958	46.214875	93	7.75	0.1523	0	1523.416077	7.75	-4.605170186	7.328710511	4.532599493	0.939197996	0.516037137	-0.971209888	-0.321761726
amola	1925	d	amola_1925_d1	10.701196	46.214892	93	8.63	0.0814	0	1093.653126	8.63	-4.605170186	6.997278863	4.532599493	1.672158849	0.516037137	-0.971209888	-0.54654564
amola	1925	e	amola_1925_e1	10.701278	46.214928	93	6.94	0.2809	0.0161	3209.870586	6.94	-3.645819965	8.073985899	4.532599493	0.264540848	0.516037137	-0.193115037	0.183699715
amola	2003	a	amola_2003_a1	10.694079	46.217036	15	7.74	0.0199	0	435.3721266	7.74	-4.605170186	6.076201129	2.708050201	0.930868896	-1.108885341	-0.971209888	-1.17123993
amola	2003	b	amola_2003_b1	10.69412	46.2169	15	7.64	0.0179	0	525.2646661	7.64	-4.605170186	6.263902262	2.708050201	0.84757789	-1.108885341	-0.971209888	-1.043937074
amola	2003	c	amola_2003_c1	10.694246	46.216723	15	7.61	0.0214	0	780.7908898	7.61	-4.605170186	6.660307367	2.708050201	0.822590588	-1.108885341	-0.971209888	-0.775086795
amola	2003	d	amola_2003_d1	10.694424	46.216554	15	7.49	0.0174	0	991.2487234	7.49	-4.605170186	6.898965485	2.708050201	0.722641381	-1.108885341	-0.971209888	-0.61322384
amola	2003	e	amola_2003_e1	10.694334	46.216491	15	7.69	0.0161	0	709.5197792	7.69	-4.605170186	6.564588374	2.708050201	0.889223393	-1.108885341	-0.971209888	-0.840005429
baras	1865	a	baras_1865_a1	77.582408	32.30568	154	7.1	0.405575573	0.036252908	2050.998321	7.1	-3.073630932	7.626081939	5.036952602	0.397806457	0.965208178	0.27096714	-0.12007817
baras	1865	b	baras_1865_b1	77.582113	32.305546	154	6.39	0.740839958	0.059312493	3128.595605	6.39	-2.669130121	8.048339494	5.036952602	-0.193559685	0.965208178	0.599043365	0.166305784
baras	1865	c	baras_1865_c1	77.581637	32.305646	154	7.26	0.984812081	0.094367854	4411.861497	7.26	-2.25983356	8.392051988	5.036952602	0.531072067	0.965208178	0.931009252	0.399418826
baras	1865	d	baras_1865_d1	77.581301	32.305718	154	8.2	1.824094653	0.028440179	1081.178559	8.2	-3.25865203	6.985806984	5.036952602	1.314007523	0.965208178	0.120903107	-0.55432611
baras	1865	e	baras_1865_e1	77.58099	32.305991	154	7.63	2.113545418	0.040591177	1742.928719	7.63	-2.983978093	7.463322149	5.036952602	0.839248789	0.965208178	0.34368137	-0.230465282
baras	1905	a	baras_1905_a1	77.582948	32.300573	114	6.41	0.370445162	0.024730243	22168.74108	6.41	-3.360144421	10.00643852	4.736198448	-0.176901484	0.69736001	0.038586237	1.49432972
baras	1905	b	baras_1905_b1	77.582521	32.30076	114	6.6	0.77088058	0.047098342	5231.769433	6.6	-2.862980194	8.562504824	4.736198448	-0.018648573	0.69736001	0.441818464	0.515023524
baras	1905	c	baras_1905_c1	77.582072	32.301009	114	6.56	0.333109051	0	3721.813172	6.56	-4.605170186	8.22196624	4.736198448	-0.051964975	0.69736001	-0.971209888	0.284063095
baras	1905	d	baras_1905_d1	77.581677	32.300974	114	5.7	0.462998122	0.035638034	8442.243309	5.7	-3.087013824	9.041003347	4.736198448	-0.768267627	0.69736001	0.260112753	0.839551285
baras	1905	e	baras_1905_e1	77.581251	32.301114	114	6.23	0.519323945	0.042235717	7429.803725	6.23	-2.951988781	8.913254721	4.736198448	-0.326825295	0.69736001	0.369626764	0.75290948
baras	1965	a	baras_1965_a1	77.591846	32.281947	54	6.95	0.140119225	0	1299.606807	6.95	-4.605170186	7.169817041	3.988984047	0.272869948	0.031899513	-0.971209888	-0.429526619
baras	1965	b	baras_1965_b1	77.591672	32.28181	54	6.75	0.182722434	0.013412837	1759.603895	6.75	-3.75447082	7.472844003	3.988984047	0.106287936	0.031899513	-0.281237882	-0.224007361
baras	1965	c	baras_1965_c1	77.591521	32.281524	54	7.28	0.063471362	0	951.1219731	7.28	-4.605170186	6.857642312	3.988984047	0.547730268	0.031899513	-0.971209888	-0.641250085
baras	1965	d	baras_1965_d1	77.591465	32.281302	54	6.85	0.337274611	0	4838.086484	6.85	-4.605170186	8.484274567	3.988984047	0.189578942	0.031899513	-0.971209888	0.461966118
baras	1965	e	baras_1965_e1	77.591349	32.281061	54	6.18	0.865112543	0.063734047	8240.798177	6.18	-2.607290617	9.016852484	3.988984047	-0.368470798	0.031899513	0.649199187	0.823171662
baras	1989	a	baras_1989_a1	77.586942	32.274784	30	6.94	0.16848585	0	815.2199259	6.94	-4.605170186	6.703457925	3.401197382	0.264540848	-0.491576486	-0.971209888	-0.745821179
baras	1989	b	baras_1989_b1	77.587192	32.274925	30	6	0.37280345	0	9410.424424	6	-4.605170186	9.149573335	3.401197382	-0.518394609	-0.491576486	-0.971209888	0.913185734
baras	1989	c	baras_1989_c1	77.587381	32.275011	30	6.33	0.356641084	0	6565.509316	6.33	-4.605170186	8.789585364	3.401197382	-0.243534289	-0.491576486	-0.971209888	0.669034322
baras	1989	d	baras_1989_d1	77.587553	32.274636	30	6.25	0.067138076	0	7387.823142	6.25	-4.605170186	8.907588402	3.401197382	-0.310167094	-0.491576486	-0.971209888	0.749066464
baras	1989	e	baras_1989_e1	77.587932	32.274516	30	7.22	0.09776365	0	611.3288865	7.22	-4.605170186	6.41563509	3.401197382	0.497755665	-0.491576486	-0.971209888	-0.941028679
baras	1998	a	baras_1998_a1	77.585843	32.273857	21	5.88	0.04937138	0	10250.28168	5.88	-4.605170186	9.235060465	3.044522438	-0.618343816	-0.809227062	-0.971209888	0.971164903
baras	1998	b	baras_1998_b1	77.586172	32.273399	21	6.25	0.051071599	0	6568.671097	6.25	-4.605170186	8.790066823	3.044522438	-0.310167094	-0.809227062	-0.971209888	0.669360857
baras	1998	c	baras_1998_c1	77.586098	32.273232	21	6.01	0.063446343	0	9736.172139	6.01	-4.605170186	9.183603315	3.044522438	-0.510065508	-0.809227062	-0.971209888	0.936265582
baras	1998	d	baras_1998_d1	77.586328	32.272957	21	5.86	0.115050405	0	7768.985432	5.86	-4.605170186	8.95789486	3.044522438	-0.635002017	-0.809227062	-0.971209888	0.783185361
baras	1998	e	baras_1998_e1	77.586484	32.27286	21	6.68	0.078120261	0	385.044447	6.68	-4.605170186	5.953358774	3.044522438	0.047984232	-0.809227062	-0.971209888	-1.254554198
baras	2010	a	baras_2010_a1	77.585256	32.271829	9	6.39	0.09069854	0	6922.785288	6.39	-4.605170186	8.842573466	2.197224577	-0.193559685	-1.563820728	-0.971209888	0.704971967
baras	2010	b	baras_2010_b1	77.585281	32.271662	9	6.36	0.121441968	0	4138.673633	6.36	-4.605170186	8.328130637	2.197224577	-0.218546987	-1.563820728	-0.971209888	0.356066021
baras	2010	c	baras_2010_c1	77.585246	32.271509	9	6.61	0.147657409	0	1064.742386	6.61	-4.605170186	6.970488158	2.197224577	-0.010319472	-1.563820728	-0.971209888	-0.56471566
baras	2010	d	baras_2010_d1	77.585456	32.271548	9	6.17	0.150240734	0	11107.04606	6.17	-4.605170186	9.315334967	2.197224577	-0.376799898	-1.563820728	-0.971209888	1.025608759
baras	2010	e	baras_2010_e1	77.585606	32.271387	9	6.91	0.194228545	0	1692.540142	6.91	-4.605170186	7.433985722	2.197224577	0.239553546	-1.563820728	-0.971209888	-0.250361864
cipre	1860	a	cipre_1860_a1	-70.40381	-34.54913	159	4.85	2.290138006	0.065617964	21294.20114	4.85	-2.582061409	9.966190068	5.068904202	-1.476241178	0.993663903	0.669661701	1.467032376
cipre	1860	b	cipre_1860_b1	-70.40253	-34.5494	159	5.1	0.186770603	0	16075.33827	5.1	-4.605170186	9.685041592	5.068904202	-1.268013663	0.993663903	-0.971209888	1.276351567
cipre	1860	c	cipre_1860_c1	-70.40274	-34.5494	159	5.27	1.892059565	0.099657252	48583.60889	5.27	-2.210395665	10.79104149	5.068904202	-1.126418953	0.993663903	0.97110657	2.026463955
cipre	1860	d	cipre_1860_d1	-70.40304	-34.54943	159	4.9	4.811927795	0.215104446	39811.20689	4.9	-1.491190781	10.59190373	5.068904202	-1.434595675	0.993663903	1.554428078	1.891404542
cipre	1860	e	cipre_1860_e1	-70.40314	-34.54952	159	5.07	2.375627995	0.13854982	23096.18636	5.07	-1.906834892	10.04742279	5.068904202	-1.293000965	0.993663903	1.217313919	1.522126117
cipre	1882	a	cipre_1882_a1	-70.388	-34.5487	137	5.52	0.735035479	0.018274836	18383.10609	5.52	-3.565783049	9.819187374	4.919980926	-0.918191438	0.861034557	-0.128199941	1.367332058
cipre	1882	b	cipre_1882_b1	-70.38968	-34.54893	137	6.43	0.326456487	0	21856.38135	6.43	-4.605170186	9.992248211	4.919980926	-0.160243283	0.861034557	-0.971209888	1.484705556
cipre	1882	c	cipre_1882_c1	-70.39033	-34.54908	137	5.7	1.621192098	0.055688348	37145.77496	5.7	-2.722833726	10.52260531	4.919980926	-0.768267627	0.861034557	0.555486281	1.844404898
cipre	1882	d	cipre_1882_d1	-70.39184	-34.54921	137	6.03	1.304638743	0.053284001	30685.07398	6.03	-2.760122737	10.33153163	4.919980926	-0.493407307	0.861034557	0.52524249	1.714814704
cipre	1882	e	cipre_1882_e1	-70.3929	-34.5499	137	5.29	5.367796421	0.296204627	26498.34186	5.29	-1.183501686	10.18483744	4.919980926	-1.109760751	0.861034557	1.803983761	1.615323621
cipre	1955	a	cipre_1955_a1	-70.38836	-34.55038	64	4.93	2.324725866	0.095883816	31789.55178	4.93	-2.245412857	10.36689295	4.158883083	-1.409608373	0.183209629	0.942705371	1.738797501
cipre	1955	b	cipre_1955_b1	-70.38838	-34.55008	64	6.29	0.200475305	0	10594.80727	6.29	-4.605170186	9.26811928	4.158883083	-0.276850691	0.183209629	-0.971209888	0.993586087
cipre	1955	c	cipre_1955_c1	-70.3882	-34.54991	64	6.27	2.787229061	0.161966994	8380.327418	6.27	-1.760452714	9.033642264	4.158883083	-0.293508892	0.183209629	1.336039299	0.834558844
cipre	1955	d	cipre_1955_d1	-70.38797	-34.54957	64	5.32	21.6498394	0.751776576	59018.72192	5.32	-0.272101974	10.98560999	4.158883083	-1.08477345	0.183209629	2.54318766	2.158424408
cipre	1955	e	cipre_1955_e1	-70.38787	-34.54937	64	6.09	1.371123314	0.054976005	13098.76064	6.09	-2.733737229	9.480272897	4.158883083	-0.443432703	0.183209629	0.546642837	1.137473132
cipre	1968	a	cipre_1968_a1	-70.38326	-34.55221	51	3.84	0.017922459	0	18269.1595	3.84	-4.605170186	9.812969644	3.931825633	-2.317480338	-0.019005108	-0.971209888	1.363115062
cipre	1968	b	cipre_1968_b1	-70.38329	-34.55222	51	4.17	0.061967086	0	22325.65354	4.17	-4.605170186	10.01349168	3.931825633	-2.042620019	-0.019005108	-0.971209888	1.499113323
cipre	1968	c	cipre_1968_c1	-70.38333	-34.55227	51	4.1	0.075514704	0	22770.85791	4.1	-4.605170186	10.03323684	3.931825633	-2.100923723	-0.019005108	-0.971209888	1.512504904
cipre	1968	d	cipre_1968_d1	-70.38333	-34.55244	51	4.41	0.05269764	0	22507.73063	4.41	-4.605170186	10.02161411	3.931825633	-1.842721604	-0.019005108	-0.971209888	1.504622129
cipre	1968	e	cipre_1968_e1	-70.38352	-34.55253	51	4.29	0.059399091	0	19543.38939	4.29	-4.605170186	9.88039237	3.931825633	-1.942670811	-0.019005108	-0.971209888	1.408842573
damma	1927	a	damma_1927_a1	8.463965	46.639591	91	4.3	0.4054	0.0242	7857.263303	4.3	-3.375529635	8.969193645	4.510859507	-1.934341711	0.496675757	0.026107838	0.790848435
damma	1927	b	damma_1927_b1	8.463934	46.639677	91	5.26	0.3336	0.0239	8850.202781	5.26	-3.384340265	9.088195651	4.510859507	-1.134748053	0.496675757	0.01896185	0.871558098
damma	1927	c	damma_1927_c1	8.463887	46.639733	91	5.15	0.4473	0.031	4952.830792	5.15	-3.194183212	8.507714569	4.510859507	-1.22636816	0.496675757	0.173191473	0.477863621
damma	1927	d	damma_1927_d1	8.4624	46.639937	91	5.32	1.0632	0.063	10812.69253	5.32	-2.617295838	9.288475958	4.510859507	-1.08477345	0.496675757	0.641084309	1.007392414
damma	1927	e	damma_1927_e1	8.46255	46.639916	91	5.31	1.1256	0.0667	3529.215959	5.31	-2.567853571	8.168831017	4.510859507	-1.09310255	0.496675757	0.681185174	0.248025669
damma	1946	a	damma_1946_a1	8.46104	46.63856	72	5.39	0.2833	0	4584.890196	5.39	-4.605170186	8.430521436	4.276666119	-1.026469745	0.288105837	-0.971209888	0.425509614
damma	1946	b	damma_1946_b1	8.460878	46.638534	72	5.53	0.8594	0.0561	3301.51525	5.53	-2.716586532	8.102136809	4.276666119	-0.909862337	0.288105837	0.560553157	0.202792254
damma	1946	c	damma_1946_c1	8.460725	46.638474	72	4.99	0.5827	0.0432	13427.82346	4.99	-2.933696883	9.505084211	4.276666119	-1.359633769	0.288105837	0.384462672	1.154300687
damma	1946	d	damma_1946_d1	8.460561	46.638503	72	5.9	0.1419	0	6558.059194	5.9	-4.605170186	8.788449984	4.276666119	-0.601685615	0.288105837	-0.971209888	0.668264283
damma	1946	e	damma_1946_e1	8.460423	46.638401	72	5.33	0.8562	0.0601	5067.599302	5.33	-2.657832485	8.530622474	4.276666119	-1.076444349	0.288105837	0.608206476	0.493400244
damma	1992	a	damma_1992_a1	8.459947	46.636663	26	6.17	0.068	0	3917.514401	6.17	-4.605170186	8.27321265	3.258096538	-0.376799898	-0.619020441	-0.971209888	0.318819488
damma	1992	b	damma_1992_b1	8.459777	46.636761	26	5.54	0.0273	0	7079.558387	5.54	-4.605170186	8.86496681	3.258096538	-0.901533236	-0.619020441	-0.971209888	0.720159604
damma	1992	c	damma_1992_c1	8.459491	46.636842	26	5.48	0.0678	0	8553.824057	5.48	-4.605170186	9.05413372	3.258096538	-0.95150784	-0.619020441	-0.971209888	0.84845658
damma	1992	d	damma_1992_d1	8.459196	46.636883	26	5.62	0.3334	0.0193	5757.734778	5.62	-3.530167763	8.658299409	3.258096538	-0.834900432	-0.619020441	-0.099313649	0.579993426
damma	1992	e	damma_1992_e1	8.458964	46.636928	26	5.4	0.2648	0.0192	7102.063443	5.4	-3.53358657	8.868140647	3.258096538	-1.018140645	-0.619020441	-0.102086522	0.722312166
damma	2003	a	damma_2003_a1	8.459249	46.635589	15	5.63	0.0281	0	4372.976225	5.63	-4.605170186	8.383199115	2.708050201	-0.826571331	-1.108885341	-0.971209888	0.393414621
damma	2003	b	damma_2003_b1	8.458962	46.635632	15	5.99	0.016	0	3267.635762	5.99	-4.605170186	8.091821994	2.708050201	-0.526723709	-1.108885341	-0.971209888	0.19579653
damma	2003	c	damma_2003_c1	8.458729	46.635769	15	5.2	0.0535	0	6778.859403	5.2	-4.605170186	8.821564137	2.708050201	-1.184722657	-1.108885341	-0.971209888	0.690722998
damma	2003	d	damma_2003_d1	8.458485	46.636071	15	6.33	0.049	0	5541.346917	6.33	-4.605170186	8.619992876	2.708050201	-0.243534289	-1.108885341	-0.971209888	0.55401313
damma	2003	e	damma_2003_e1	8.458243	46.63621	15	5.04	0.0967	0	3623.817729	5.04	-4.605170186	8.19528337	2.708050201	-1.317988266	-1.108885341	-0.971209888	0.265966211
estel	1850	a	estel_1850_a1	6.82752	45.76843	168	5.03	0.7852	0.0588	18024.71123	5.03	-2.676551534	9.799498941	5.123963979	-1.326317367	1.042699503	0.593024121	1.353978948
estel	1850	b	estel_1850_b1	6.82834	45.76858	168	5.39	1.1262	0.0919	11458.80507	5.39	-2.283763339	9.346513715	5.123963979	-1.026469745	1.042699503	0.911600659	1.046754842
estel	1850	c	estel_1850_c1	6.83005	45.76646	168	6.43	0.7721	0.0549	5360.181279	6.43	-2.734907655	8.586753074	5.123963979	-0.160243283	1.042699503	0.545693546	0.531469197
estel	1850	d	estel_1850_d1	6.83051	45.76655	168	6.11	0.9106	0.07	9881.91534	6.11	-2.525728644	9.198461632	5.123963979	-0.426774502	1.042699503	0.715351204	0.946342805
estel	1850	e	estel_1850_e1	6.83096	45.76674	168	6.54	1.9865	0.153	16625.31451	6.54	-1.814005078	9.718681783	5.123963979	-0.068623176	1.042699503	1.29260488	1.299167052
estel	1920	a	estel_1920_a1	6.82868	45.76736	98	4.84	0.114	0	10353.57477	4.84	-4.605170186	9.245087127	4.584967479	-1.484570278	0.562675459	-0.971209888	0.977965197
estel	1920	b	estel_1920_b1	6.8281	45.7675	98	5.66	0.3598	0.0249	2215.157424	5.66	-3.35526845	7.703078752	4.584967479	-0.801584029	0.562675459	0.042540965	-0.067857312
estel	1920	c	estel_1920_c1	6.82739	45.7678	98	7.08	0.1364	0	1040.916304	7.08	-4.605170186	6.947856666	4.584967479	0.381148256	0.562675459	-0.971209888	-0.580064814
estel	1920	d	estel_1920_d1	6.82702	45.76804	98	6.57	0.425	0.032	1735.878063	6.57	-3.170085661	7.459268652	4.584967479	-0.043635874	0.562675459	0.19273614	-0.233214449
estel	1920	e	estel_1920_e1	6.82599	45.76838	98	6.36	0.1258	0	6865.012503	6.36	-4.605170186	8.834193139	4.584967479	-0.218546987	0.562675459	-0.971209888	0.699288253
estel	1988	a	estel_1988_a1	6.82336	45.76808	30	6.09	0.1414	0	7325.135306	6.09	-4.605170186	8.899066906	3.401197382	-0.443432703	-0.491576486	-0.971209888	0.743287006
estel	1988	b	estel_1988_b1	6.82355	45.76783	30	7.77	0.3541	0	956.3398007	7.77	-4.605170186	6.86311329	3.401197382	0.955856198	-0.491576486	-0.971209888	-0.637539553
estel	1988	c	estel_1988_c1	6.82394	45.76763	30	8.18	0.5429	0	501.5060681	8.18	-4.605170186	6.217615707	3.401197382	1.297349322	-0.491576486	-0.971209888	-1.075329589
estel	1988	d	estel_1988_d1	6.82422	45.76743	30	8.15	0.3535	0	394.3329002	8.15	-4.605170186	5.977195477	3.401197382	1.27236202	-0.491576486	-0.971209888	-1.238387645
estel	1988	e	estel_1988_e1	6.82424	45.76707	30	8.1	0.0897	0	347.6077016	8.1	-4.605170186	5.85107455	3.401197382	1.230716517	-0.491576486	-0.971209888	-1.32392551
explo	1600	a	explo_1600_a1	-73.182199	-46.48594	418	5.2	10.48024273	0.318067253	12301.01188	5.2	-1.114536653	9.417436804	6.035481433	-1.184722657	1.854486395	1.859918847	1.094856372
explo	1600	b	explo_1600_b1	-73.182094	-46.486229	418	4.91	7.480000496	0.206306502	9926.339659	4.91	-1.531058885	9.202947075	6.035481433	-1.426266574	1.854486395	1.522092476	0.949384927
explo	1600	c	explo_1600_c1	-73.182013	-46.486377	418	3.41	40.44782257	1.450255513	124930.33	3.41	0.378611429	11.7355115	6.035481433	-2.675631664	1.854486395	3.070958162	2.667023381
explo	1600	d	explo_1600_d1	-73.181909	-46.486454	418	4.11	22.76948357	0.780741334	26261.25924	4.11	-0.234784376	10.1758501	6.035481433	-2.092594622	1.854486395	2.573454636	1.609228219
explo	1600	e	explo_1600_e1	-73.1817	-46.486406	418	5.9	2.204765797	0.082617439	11990.51904	5.9	-2.379277825	9.391871536	6.035481433	-0.601685615	1.854486395	0.834132255	1.07751747
explo	1850	a	explo_1850_a1	-73.158021	-46.502037	168	5.97	2.768510818	0.172751352	6026.178109	5.97	-1.699628781	8.703868276	5.123963979	-0.54338191	1.042699503	1.385371427	0.61089919
explo	1850	b	explo_1850_b1	-73.1582	-46.502134	168	5.92	7.797687531	0.435824245	10748.6088	5.92	-0.807830474	9.282531611	5.123963979	-0.585027413	1.042699503	2.108677323	1.003360833
explo	1850	c	explo_1850_c1	-73.158424	-46.502134	168	5.67	7.882640839	0.527323246	10673.39285	5.67	-0.621155418	9.275509275	5.123963979	-0.793254929	1.042699503	2.260082823	0.998598137
explo	1850	d	explo_1850_d1	-73.158535	-46.50219	168	5.7	17.36918068	0.746706247	27836.95005	5.7	-0.278780149	10.23411956	5.123963979	-0.768267627	1.042699503	2.537771229	1.648747789
explo	1850	e	explo_1850_e1	-73.158628	-46.502199	168	6.2	6.420327187	0.269208968	10744.88018	6.2	-1.275794789	9.282184658	5.123963979	-0.351812597	1.042699503	1.729128107	1.003125522
explo	1950	a	explo_1950_a1	-73.169774	-46.494986	68	4.81	19.02498245	0.695794106	48392.59329	4.81	-0.348431719	10.78710205	4.219507705	-1.50955758	0.237201215	2.481279317	2.023792146
explo	1950	b	explo_1950_b1	-73.169944	-46.495079	68	5.76	2.239110947	0.107988417	14120.14065	5.76	-2.137168819	9.555357472	4.219507705	-0.718293023	0.237201215	1.030498261	1.188397069
