"glacier1","date1","plot1","date2","plot2","Plot1","Plot2","beta.bact","time_diff","beta.coll","beta.euka.uni","beta.euka.animals","beta.fung","beta.inse","beta.olig","beta.sper","beta.all.ani"
"adigi",1765,"b",1981,"e","adigi_1981_e","adigi_1765_b",0.864197530864197,216,1,0.6,1,0.922222222222222,1,1,1,1
"adigi",1765,"b",1981,"f","adigi_1981_f","adigi_1765_b",0.892857142857143,216,1,0.769230769230769,1,0.962962962962963,1,1,1,1
"adigi",1765,"b",1981,"g","adigi_1981_g","adigi_1765_b",0.815789473684211,216,1,0.727272727272727,0.857142857142857,0.921052631578947,1,1,1,0.96875
"adigi",1765,"b",1981,"h","adigi_1981_h","adigi_1765_b",0.900900900900901,216,1,0.733333333333333,0.875,0.938271604938272,1,1,1,0.972972972972973
"adigi",1765,"b",1981,"i","adigi_1981_i","adigi_1765_b",0.872340425531915,216,0.9,0.75,0.9,0.950617283950617,1,1,1,0.941176470588235
"adigi",1765,"b",1981,"j","adigi_1981_j","adigi_1765_b",0.866279069767442,216,1,0.9,1,0.958333333333333,1,1,1,1
"adigi",1765,"b",2010,"a","adigi_2010_a","adigi_1765_b",0.896551724137931,245,1,0.733333333333333,0.857142857142857,1,1,1,1,0.966666666666667
"adigi",1765,"b",2010,"b","adigi_2010_b","adigi_1765_b",0.911764705882353,245,1,0.714285714285714,1,0.985294117647059,1,1,1,1
"adigi",1765,"b",2010,"c","adigi_2010_c","adigi_1765_b",0.877358490566038,245,1,0.692307692307692,0.857142857142857,0.985074626865672,1,1,1,0.96969696969697
"adigi",1765,"b",2010,"d","adigi_2010_d","adigi_1765_b",0.93,245,1,0.666666666666667,1,0.986111111111111,1,1,1,1
"adigi",1765,"b",2010,"e","adigi_2010_e","adigi_1765_b",0.950980392156863,245,1,0.7,1,0.961038961038961,1,1,1,1
"adigi",1765,"c",1765,"d","adigi_1765_d","adigi_1765_c",0.823076923076923,0,1,0.533333333333333,0.777777777777778,0.666666666666667,0.444444444444444,0.333333333333333,0.3,0.689655172413793
"adigi",1765,"c",1765,"e","adigi_1765_e","adigi_1765_c",0.837209302325581,0,1,0.764705882352941,0.9,0.764705882352941,0.428571428571429,0.333333333333333,0.545454545454545,0.740740740740741
