name,glacier,dating,spot,date,time,lon,lat
agola_1908_e1,Agola,1908,E,28/09/2018,14:29,10.85138,46.15282
agola_1973_a1,Agola,1973,A,28/09/2018,13:05,10.85676,46.1524
agola_1973_b1,Agola,1973,B,28/09/2018,13:10,10.85699,46.15237
agola_1973_c1,Agola,1973,C,28/09/2018,13:21,10.85691,46.15254
agola_1973_d1,Agola,1973,D,28/09/2018,13:30,10.85674,46.15248
agola_1994_a1,Agola,1994,A,28/09/2018,12:13,10.85701,46.15166
agola_1994_b1,Agola,1994,B,28/09/2018,12:21,10.85708,46.15178
agola_1994_c1,Agola,1994,C,28/09/2018,12:26,10.85711,46.15197
agola_1994_d1,Agola,1994,D,28/09/2018,12:31,10.85733,46.15204
agola_1994_e1,Agola,1994,E,28/09/2018,12:40,10.8574,46.15222
agola_2003_a1,Agola,2003,A,28/09/2018,11:03,10.85741,46.15178
agola_2003_b1,Agola,2003,B,28/09/2018,11:10,10.8575,46.15204
agola_2003_c1,Agola,2003,C,28/09/2018,11:20,10.85772,46.152
agola_2003_d1,Agola,2003,D,28/09/2018,11:30,10.85795,46.15208
agola_2017_a1,Agola,2017,A,28/09/2018,10:29,10.85793,46.15157
agola_2017_b1,Agola,2017,B,28/09/2018,10:32,10.85784,46.15157
agola_2017_c1,Agola,2017,C,28/09/2018,10:38,10.85795,46.15195
agola_2017_d1,Agola,2017,D,28/09/2018,10:43,10.85807,46.15185
agola_2017_e1,Agola,2017,E,28/09/2018,10:49,10.85821,46.15196
agola_2017_f1,Agola,2017,F,28/09/2018,11:40,10.85828,46.15191
amola_1850_a1,Amola,1850,A,21/08/2018,6:54,10.704174,46.213158
amola_1850_a2,Amola,1850,A,21/08/2018,6:54,10.704174,46.213158
amola_1850_b1,Amola,1850,B,21/08/2018,7:14,10.703835,46.213278
amola_1850_b2,Amola,1850,B,21/08/2018,7:14,10.703835,46.213278
amola_1850_c1,Amola,1850,C,21/08/2018,7:38,10.703499,46.213338
amola_1850_c2,Amola,1850,C,21/08/2018,7:38,10.703499,46.213338
amola_1850_d1,Amola,1850,D,21/08/2018,7:53,10.703238,46.213423
amola_1850_d2,Amola,1850,D,21/08/2018,7:53,10.703238,46.213423
amola_1850_e1,Amola,1850,E,21/08/2018,8:08,10.702985,46.213657
amola_1850_e2,Amola,1850,E,21/08/2018,8:08,10.702985,46.213657
amola_1925_a1,Amola,1925,A,21/08/2018,8:41,10.70055,46.214598
amola_1925_a2,Amola,1925,A,21/08/2018,8:41,10.70055,46.214598
amola_1925_b1,Amola,1925,B,21/08/2018,8:53,10.700605,46.214667
amola_1925_b2,Amola,1925,B,21/08/2018,8:53,10.700605,46.214667
amola_1925_c1,Amola,1925,C,21/08/2018,9:26,10.700958,46.214875
amola_1925_c2,Amola,1925,C,21/08/2018,9:26,10.700958,46.214875
amola_1925_d1,Amola,1925,D,21/08/2018,9:40,10.701196,46.214892
amola_1925_d2,Amola,1925,D,21/08/2018,9:40,10.701196,46.214892
amola_1925_e1,Amola,1925,E,21/08/2018,9:54,10.701278,46.214928
amola_1925_e2,Amola,1925,E,21/08/2018,9:54,10.701278,46.214928
amola_2000_a1,Amola,2000,A,21/08/2018,12:21,10.694036,46.217296
amola_2000_b1,Amola,2000,B,21/08/2018,12:19,10.69402,46.217267
amola_2000_c1,Amola,2000,C,21/08/2018,12:18,10.694003,46.217238
amola_2003_a1,Amola,2003,A,21/08/2018,10:19,10.694079,46.217036
amola_2003_a2,Amola,2003,A,21/08/2018,10:19,10.694079,46.217036
amola_2003_b1,Amola,2003,B,21/08/2018,10:21,10.69412,46.2169
amola_2003_b2,Amola,2003,B,21/08/2018,10:21,10.69412,46.2169
amola_2003_c1,Amola,2003,C,21/08/2018,10:32,10.694246,46.216723
amola_2003_c2,Amola,2003,C,21/08/2018,10:32,10.694246,46.216723
amola_2003_d1,Amola,2003,D,21/08/2018,10:50,10.694424,46.216554
amola_2003_d2,Amola,2003,D,21/08/2018,10:50,10.694424,46.216554
amola_2003_e1,Amola,2003,E,21/08/2018,10:55,10.694334,46.216491
amola_2003_e2,Amola,2003,E,21/08/2018,10:55,10.694334,46.216491
amola_2004_a1,Amola,2004,A,21/08/2018,12:15,10.69384,46.217365
amola_2004_b1,Amola,2004,B,21/08/2018,12:12,10.693819,46.217329
amola_2004_c1,Amola,2004,C,21/08/2018,12:09,10.693797,46.217291
amola_2006_a1,Amola,2006,A,21/08/2018,11:32,10.69362,46.217415
amola_2006_b1,Amola,2006,B,21/08/2018,11:29,10.693603,46.217382
amola_2006_c1,Amola,2006,C,21/08/2018,11:25,10.693579,46.217346
amola_2008_a1,Amola,2008,A,21/08/2018,11:41,10.693516,46.217569
amola_2008_b1,Amola,2008,B,21/08/2018,11:40,10.693496,46.21753
amola_2008_c1,Amola,2008,C,21/08/2018,11:39,10.693468,46.217489
amola_2010_a1,Amola,2010,A,21/08/2018,11:48,10.693209,46.217648
amola_2010_b1,Amola,2010,B,21/08/2018,11:49,10.693187,46.217615
amola_2010_c1,Amola,2010,C,21/08/2018,11:51,10.693171,46.217581
amola_2012_a1,Amola,2012,A,21/08/2018,11:57,10.692786,46.217679
amola_2012_b1,Amola,2012,B,21/08/2018,11:58,10.692761,46.217636
amola_2012_c1,Amola,2012,C,21/08/2018,11:59,10.692742,46.217602
amola_supr_a1,Amola,Supraglacial,A,21/08/2018,12:15,10.69041,46.21795
amola_supr_b1,Amola,Supraglacial,B,21/08/2018,12:45,10.69036,46.21815
amola_supr_c1,Amola,Supraglacial,C,21/08/2018,12:46,10.69047,46.21835
amola_supr_d1,Amola,Supraglacial,D,21/08/2018,12:47,10.69078,46.2185
amola_supr_e1,Amola,Supraglacial,E,21/08/2018,12:52,10.69156,46.21849
ant12_1730_a1,Antisana 12,1730,1,00/05/2015,,-78.16543333,-0.496433333
ant12_1730_b1,Antisana 12,1730,2,00/05/2015,,-78.16538333,-0.496516667
ant12_1730_c1,Antisana 12,1730,3,00/05/2015,,-78.16541667,-0.49635
ant12_1730_d1,Antisana 12,1730,4,00/05/2015,,-78.16536667,-0.496383333
ant12_1730_e1,Antisana 12,1730,5,00/05/2015,,-78.1652,-0.4964
ant12_1830_a1,Antisana 12,1830,1,00/05/2015,,-78.16493333,-0.495433333
ant12_1830_b1,Antisana 12,1830,2,00/05/2015,,-78.16481667,-0.495516667
ant12_1830_c1,Antisana 12,1830,3,00/05/2015,,-78.1649,-0.4954
ant12_1830_d1,Antisana 12,1830,4,00/05/2015,,-78.1647,-0.4955
ant12_1830_e1,Antisana 12,1830,5,00/05/2015,,-78.1647,-0.4957
ant12_1956_a1,Antisana 12,1956,1,00/05/2015,,-78.16253333,-0.495383333
ant12_1956_b1,Antisana 12,1956,2,00/05/2015,,-78.1624,-0.49535
ant12_1956_c1,Antisana 12,1956,3,00/05/2015,,-78.16258333,-0.4953
ant12_1956_d1,Antisana 12,1956,4,00/05/2015,,-78.16263333,-0.49545
ant12_1956_e1,Antisana 12,1956,5,00/05/2015,,-78.16261667,-0.495283333
ant12_1979_a1,Antisana 12,1979,1,00/05/2015,,-78.16151667,-0.494916667
ant12_1979_b1,Antisana 12,1979,2,00/05/2015,,-78.16148333,-0.494883333
ant12_1979_c1,Antisana 12,1979,3,00/05/2015,,-78.16155,-0.4949
ant12_1979_d1,Antisana 12,1979,4,00/05/2015,,-78.16158333,-0.494816667
ant12_1979_e1,Antisana 12,1979,5,00/05/2015,,-78.16151667,-0.494766667
ant12_1997_a1,Antisana 12,1997,1,00/05/2015,,-78.16048333,-0.4952
ant12_1997_b1,Antisana 12,1997,2,00/05/2015,,-78.16031667,-0.495116667
ant12_1997_c1,Antisana 12,1997,3,00/05/2015,,-78.160474,-0.495113
ant12_1997_d1,Antisana 12,1997,4,00/05/2015,,-78.16038333,-0.49516667
ant12_1997_e1,Antisana 12,1997,5,00/05/2015,,-78.16055,-0.4952
ant12_2003_a1,Antisana 12,2003,1,00/05/2015,,-78.1598,-0.4952
ant12_2003_b1,Antisana 12,2003,2,00/05/2015,,-78.15961667,-0.495133333
ant12_2003_c1,Antisana 12,2003,3,00/05/2015,,-78.15951667,-0.495133333
ant12_2003_d1,Antisana 12,2003,4,00/05/2015,,-78.15921667,-0.49505
ant12_2003_e1,Antisana 12,2003,5,00/05/2015,,-78.15915,-0.495266667
ant15_1730_a1,Antisana 15,1730,1,19/08/2015,20:10,-78.15845029,-0.47259194
ant15_1730_b1,Antisana 15,1730,2,19/08/2015,20:23,-78.15865019,-0.47253289
ant15_1730_c1,Antisana 15,1730,3,19/08/2015,20:22,-78.15881926,-0.47263972
ant15_1730_d1,Antisana 15,1730,4,19/08/2015,20:29,-78.15895949,-0.47258826
ant15_1730_e1,Antisana 15,1730,5,19/08/2015,20:33,-78.15912411,-0.47255313
ant15_1830_a1,Antisana 15,1830,1,19/08/2015,19:41,-78.15813881,-0.47197361
ant15_1830_b1,Antisana 15,1830,2,19/08/2015,19:54,-78.15822246,-0.47199884
ant15_1830_c1,Antisana 15,1830,3,19/08/2015,19:53,-78.15829991,-0.4719488
ant15_1830_d1,Antisana 15,1830,4,19/08/2015,19:52,-78.1583207,-0.47184633
ant15_1830_e1,Antisana 15,1830,5,19/08/2015,20:03,-78.15846051,-0.47173179
ant15_1956_a1,Antisana 15,1956,1,19/08/2015,19:01,-78.15466183,-0.4714106
ant15_1956_b1,Antisana 15,1956,2,19/08/2015,19:07,-78.15487188,-0.471466
ant15_1956_c1,Antisana 15,1956,3,19/08/2015,19:10,-78.15470693,-0.47138696
ant15_1956_d1,Antisana 15,1956,4,19/08/2015,19:15,-78.15493793,-0.47097478
ant15_1956_e1,Antisana 15,1956,5,19/08/2015,19:17,-78.15540615,-0.47094502
ant15_1979_a1,Antisana 15,1979,1,19/08/2015,18:33,-78.15526298,-0.47313178
ant15_1979_b1,Antisana 15,1979,2,19/08/2015,18:39,-78.15508847,-0.47283841
ant15_1979_c1,Antisana 15,1979,3,19/08/2015,18:45,-78.15530003,-0.47276813
ant15_1979_d1,Antisana 15,1979,4,19/08/2015,18:47,-78.15546842,-0.47271901
ant15_1979_e1,Antisana 15,1979,5,19/08/2015,18:55,-78.15545049,-0.47259463
ant15_1991_a1,Antisana 15,1991,1,19/08/2015,17:49,-78.15320556,-0.4735844
ant15_1991_b1,Antisana 15,1991,2,19/08/2015,17:56,-78.15325225,-0.47352108
ant15_1991_c1,Antisana 15,1991,3,19/08/2015,18:09,-78.15336842,-0.47332033
ant15_1991_d1,Antisana 15,1991,4,19/08/2015,18:15,-78.15336733,-0.47305324
ant15_1991_e1,Antisana 15,1991,5,19/08/2015,18:19,-78.15368266,-0.47260875
ant15_1997_a1,Antisana 15,1997,1,19/08/2015,17:15,-78.15300833,-0.47436719
ant15_1997_b1,Antisana 15,1997,2,19/08/2015,17:18,-78.15301965,-0.47432323
ant15_1997_c1,Antisana 15,1997,3,19/08/2015,17:28,-78.15319919,-0.47432113
ant15_1997_d1,Antisana 15,1997,4,19/08/2015,17:31,-78.15347831,-0.47409578
ant15_1997_e1,Antisana 15,1997,5,19/08/2015,17:38,-78.15361829,-0.47404532
baras_1865_a1,Bara Shigri,1865,A,03/10/2019,11:26,77.582408,32.30568
baras_1865_b1,Bara Shigri,1865,B,03/10/2019,11:37,77.582113,32.305546
baras_1865_c1,Bara Shigri,1865,C,03/10/2019,11:47,77.581637,32.305646
baras_1865_d1,Bara Shigri,1865,D,03/10/2019,11:56,77.581301,32.305718
baras_1865_e1,Bara Shigri,1865,E,03/10/2019,12:05,77.58099,32.305991
baras_1905_a1,Bara Shigri,1905,A,03/10/2019,10:16,77.582948,32.300573
baras_1905_b1,Bara Shigri,1905,B,03/10/2019,10:25,77.582521,32.30076
baras_1905_c1,Bara Shigri,1905,C,03/10/2019,10:35,77.582072,32.301009
baras_1905_d1,Bara Shigri,1905,D,03/10/2019,10:46,77.581677,32.300974
baras_1905_e1,Bara Shigri,1905,E,03/10/2019,10:56,77.581251,32.301114
baras_1965_a1,Bara Shigri,1965,A,03/10/2019,8:36,77.591846,32.281947
baras_1965_b1,Bara Shigri,1965,B,03/10/2019,8:47,77.591672,32.28181
baras_1965_c1,Bara Shigri,1965,C,03/10/2019,8:56,77.591521,32.281524
baras_1965_d1,Bara Shigri,1965,D,03/10/2019,9:06,77.591465,32.281302
baras_1965_e1,Bara Shigri,1965,E,03/10/2019,9:19,77.591349,32.281061
baras_1989_a1,Bara Shigri,1989,A,02/10/2019,14:50,77.586942,32.274784
baras_1989_b1,Bara Shigri,1989,B,02/10/2019,15:00,77.587192,32.274925
baras_1989_c1,Bara Shigri,1989,C,02/10/2019,15:13,77.587381,32.275011
baras_1989_d1,Bara Shigri,1989,D,02/10/2019,15:23,77.587553,32.274636
baras_1989_e1,Bara Shigri,1989,E,02/10/2019,15:34,77.587932,32.274516
baras_1998_a1,Bara Shigri,1998,A,02/10/2019,13:28,77.585843,32.273857
baras_1998_b1,Bara Shigri,1998,B,02/10/2019,13:45,77.586172,32.273399
baras_1998_c1,Bara Shigri,1998,C,02/10/2019,13:54,77.586098,32.273232
baras_1998_d1,Bara Shigri,1998,D,02/10/2019,14:05,77.586328,32.272957
baras_1998_e1,Bara Shigri,1998,E,02/10/2019,14:17,77.586484,32.27286
baras_2010_a1,Bara Shigri,2010,A,02/10/2019,12:08,77.585256,32.271829
baras_2010_b1,Bara Shigri,2010,B,02/10/2019,12:25,77.585281,32.271662
baras_2010_c1,Bara Shigri,2010,C,02/10/2019,12:38,77.585246,32.271509
baras_2010_d1,Bara Shigri,2010,D,02/10/2019,12:51,77.585456,32.271548
baras_2010_e1,Bara Shigri,2010,E,2019-10-02,13:03,77.585606,32.271387
brogg_1625_a1,Broggi,1625,A,2020-01-10,15:10,-77.60029701,-9.01223897
brogg_1625_b1,Broggi,1625,B,2020-01-10,15:25,-77.60068098,-9.012519009
brogg_1625_c1,Broggi,1625,C,2020-01-10,15:30,-77.60090796,-9.012770969
brogg_1625_d1,Broggi,1625,D,2020-01-10,15:39,-77.60138397,-9.012697963
brogg_1625_e1,Broggi,1625,E,2020-01-10,15:49,-77.60142898,-9.013471026
brogg_1948_a1,Broggi,1948,A,2020-01-10,14:00,-77.59068104,-9.005904011
brogg_1948_b1,Broggi,1948,B,2020-01-10,14:09,-77.59062496,-9.00570997
brogg_1948_c1,Broggi,1948,C,2020-01-10,14:16,-77.59101698,-9.005814996
brogg_1948_d1,Broggi,1948,D,2020-01-10,14:23,-77.59113802,-9.005625984
brogg_1948_e1,Broggi,1948,E,2020-01-10,14:28,-77.59127196,-9.005376035
brogg_1968_a1,Broggi,1968,A,2020-01-10,12:42,-77.58910901,-9.004612025
brogg_1968_b1,Broggi,1968,B,2020-01-10,12:58,-77.58901899,-9.004868008
brogg_1968_c1,Broggi,1968,C,2020-01-10,13:12,-77.58866401,-9.005113011
brogg_1968_d1,Broggi,1968,D,2020-01-10,13:26,-77.58832203,-9.005243015
brogg_1968_e1,Broggi,1968,E,2020-01-10,13:34,-77.58812598,-9.005310992
brogg_1988_a1,Broggi,1988,A,2020-01-10,11:44,-77.58740203,-9.002702963
brogg_1988_b1,Broggi,1988,B,2020-01-10,11:56,-77.58733397,-9.00301896
brogg_1988_c1,Broggi,1988,C,2020-01-10,12:05,-77.58720196,-9.003171008
brogg_1988_d1,Broggi,1988,D,2020-01-10,12:15,-77.58699702,-9.003367983
brogg_1988_e1,Broggi,1988,E,2020-01-10,12:23,-77.58670399,-9.003637042
brogg_2008_a1,Broggi,2008,A,2020-01-10,10:34,-77.58376404,-9.001434026
brogg_2008_b1,Broggi,2008,B,2020-01-10,10:53,-77.58369497,-9.001551038
brogg_2008_c1,Broggi,2008,C,2020-01-10,11:04,-77.58362699,-9.001796963
brogg_2008_d1,Broggi,2008,D,2020-01-10,11:10,-77.58359799,-9.001982035
brogg_2008_e1,Broggi,2008,E,10/01/2020,11:20,-77.58340202,-9.002255034
carih_1956_b1,Carihuairazo,1956,A,29/05/2015,,-78.759041,-1.411262
carih_1956_d1,Carihuairazo,1956,B,29/05/2015,,-78.758881,-1.41117
carih_1956_c1,Carihuairazo,1956,C,29/05/2015,,-78.758581,-1.411041
carih_1956_e1,Carihuairazo,1956,D,29/05/2015,,-78.759698,-1.410895
carih_1956_a1,Carihuairazo,1956,E,29/05/2015,,-78.759925,-1.410541
carih_1991_b1,Carihuairazo,1991,A,29/05/2015,,-78.757984,-1.40837
carih_1991_d1,Carihuairazo,1991,B,29/05/2015,,-78.757909,-1.408351
carih_1991_c1,Carihuairazo,1991,C,29/05/2015,,-78.757631,-1.408248
carih_1991_e1,Carihuairazo,1991,D,29/05/2015,,-78.757393,-1.408316
carih_1991_a1,Carihuairazo,1991,E,29/05/2015,,-78.75721,-1.408205
carih_1998_b1,Carihuairazo,1998,A,29/05/2015,,-78.757198,-1.407025
carih_1998_d1,Carihuairazo,1998,A,29/05/2015,,-78.757228,-1.407161
carih_1998_c1,Carihuairazo,1998,B,29/05/2015,,-78.757331,-1.406992
carih_1998_e1,Carihuairazo,1998,B,29/05/2015,,-78.757338,-1.407116
carih_1998_a1,Carihuairazo,1998,STREAM,29/05/2015,,-78.75734,-1.407286
carih_????_b1,Carihuairazo,early Holocene,A,29/05/2015,,-78.760305,-1.410395
carih_????_d1,Carihuairazo,early Holocene,B,29/05/2015,,-78.76055,-1.411026
carih_????_c1,Carihuairazo,early Holocene,C,29/05/2015,,-78.760648,-1.411176
carih_????_e1,Carihuairazo,early Holocene,D,29/05/2015,,-78.760729,-1.411407
carih_????_a1,Carihuairazo,early Holocene,E,2015-05-29,,-78.760927,-1.411767
charq_1686_a1,Charquini,1686,A,2015-06-02,,-68.11305,-16.31188
charq_1686_b1,Charquini,1686,B,2015-06-02,,-68.113385,-16.312024
charq_1686_c1,Charquini,1686,C,2015-06-02,,-68.113704,-16.311928
charq_1686_d1,Charquini,1686,D,2015-06-02,,-68.11384,-16.311831
charq_1686_e1,Charquini,1686,E,2015-06-02,,-68.114076,-16.311747
charq_1734_a1,Charquini,1734,A,2015-06-02,,-68.115756,-16.310128
charq_1734_b1,Charquini,1734,B,2015-06-02,,-68.115699,-16.310274
charq_1734_c1,Charquini,1734,C,2015-06-02,,-68.11537,-16.310734
charq_1734_d1,Charquini,1734,D,2015-06-02,,-68.113559,-16.311313
charq_1734_e1,Charquini,1734,E,2015-06-02,,-68.113335,-16.311444
charq_1808_a1,Charquini,1808,A,2015-06-02,,-68.115214,-16.308752
charq_1808_b1,Charquini,1808,B,2015-06-02,,-68.115232,-16.308585
charq_1808_c1,Charquini,1808,C,2015-06-02,,-68.115283,-16.308495
charq_1808_d1,Charquini,1808,D,2015-06-02,,-68.115062,-16.308806
charq_1808_e1,Charquini,1808,E,2015-06-02,,-68.114862,-16.309269
charq_1843_a1,Charquini,1843,A,2015-06-02,,-68.114888,-16.307951
charq_1843_b1,Charquini,1843,B,2015-06-02,,-68.114877,-16.307819
charq_1843_c1,Charquini,1843,C,2015-06-02,,-68.114834,-16.307656
charq_1843_d1,Charquini,1843,D,2015-06-02,,-68.114527,-16.30813
charq_1843_e1,Charquini,1843,E,2015-06-02,,-68.11448,-16.308077
charq_1871_a1,Charquini,1871,A,2015-06-02,,-68.114163,-16.306892
charq_1871_b1,Charquini,1871,B,2015-06-02,,-68.114303,-16.306809
charq_1871_c1,Charquini,1871,C,2015-06-02,,-68.113959,-16.306987
charq_1871_d1,Charquini,1871,D,2015-06-02,,-68.113507,-16.307074
charq_1871_e1,Charquini,1871,E,2015-06-02,,-68.113342,-16.307026
charq_1970_a1,Charquini,1970,A,2015-06-02,,-68.112094,-16.304461
charq_1970_b1,Charquini,1970,B,2015-06-02,,-68.111745,-16.304646
charq_1970_c1,Charquini,1970,C,2015-06-02,,-68.111189,-16.304713
charq_1970_d1,Charquini,1970,D,2015-06-02,,-68.110749,-16.304808
charq_1970_e1,Charquini,1970,E,2015-06-02,,-68.109994,-16.305174
charq_2005_a1,Charquini,2005,A,2015-06-02,,-68.108876,-16.303811
charq_2005_b1,Charquini,2005,B,2015-06-02,,-68.108881,-16.303872
charq_2005_c1,Charquini,2005,C,2015-06-02,,-68.108812,-16.303807
charq_2005_d1,Charquini,2005,D,2015-06-02,,-68.108952,-16.303752
charq_2005_e1,Charquini,2005,E,2015-06-02,,-68.109194,-16.303441
charq_????_a1,Charquini,???,A,2015-06-02,,-68.11308,-16.313976
charq_????_b1,Charquini,???,B,2015-06-02,,-68.113283,-16.31414
charq_????_c1,Charquini,???,C,02/06/2015,,-68.11288,-16.313505
cipre_1860_a1,Cipreses,1860,A,24/02/2019,16:54,-70.40381,-34.54913
cipre_1860_b1,Cipreses,1860,B,24/02/2019,18:00,-70.40253,-34.5494
cipre_1860_c1,Cipreses,1860,C,24/02/2019,18:06,-70.40274,-34.5494
cipre_1860_d1,Cipreses,1860,D,24/02/2019,18:15,-70.40304,-34.54943
cipre_1860_e1,Cipreses,1860,E,24/02/2019,18:21,-70.40314,-34.54952
cipre_1882_a1,Cipreses,1882,A,24/02/2019,15:43,-70.388,-34.5487
cipre_1882_b1,Cipreses,1882,B,24/02/2019,15:59,-70.38968,-34.54893
cipre_1882_c1,Cipreses,1882,C,24/02/2019,16:09,-70.39033,-34.54908
cipre_1882_d1,Cipreses,1882,D,24/02/2019,16:25,-70.39184,-34.54921
cipre_1882_e1,Cipreses,1882,E,24/02/2019,16:35,-70.3929,-34.5499
cipre_1955_a1,Cipreses,1955,A,24/02/2019,14:41,-70.38836,-34.55038
cipre_1955_b1,Cipreses,1955,B,24/02/2019,14:49,-70.38838,-34.55008
cipre_1955_c1,Cipreses,1955,C,24/02/2019,14:59,-70.3882,-34.54991
cipre_1955_d1,Cipreses,1955,D,24/02/2019,15:39,-70.38797,-34.54957
cipre_1955_e1,Cipreses,1955,E,24/02/2019,15:21,-70.38787,-34.54937
cipre_1968_a1,Cipreses,1968,A,24/02/2019,13:17,-70.38326,-34.55221
cipre_1968_b1,Cipreses,1968,B,24/02/2019,13:25,-70.38329,-34.55222
cipre_1968_c1,Cipreses,1968,C,24/02/2019,13:37,-70.38333,-34.55227
cipre_1968_d1,Cipreses,1968,D,24/02/2019,13:50,-70.38333,-34.55244
cipre_1968_e1,Cipreses,1968,E,24/02/2019,13:57,-70.38352,-34.55253
damma_1927_a1,Dammagletscher,1927,A,18/07/2018,17:40,8.463965,46.639591
damma_1927_b1,Dammagletscher,1927,B,18/07/2018,18:10,8.463934,46.639677
damma_1927_c1,Dammagletscher,1927,C,18/07/2018,18:30,8.463887,46.639733
damma_1927_d1,Dammagletscher,1927,D,18/07/2018, ,8.4624,46.639937
damma_1927_e1,Dammagletscher,1927,E,18/07/2018, ,8.46255,46.639916
damma_1946_a1,Dammagletscher,1946,A,18/07/2018, ,8.46104,46.63856
damma_1946_b1,Dammagletscher,1946,B,18/07/2018, ,8.460878,46.638534
damma_1946_c1,Dammagletscher,1946,C,18/07/2018, ,8.460725,46.638474
damma_1946_d1,Dammagletscher,1946,D,18/07/2018, ,8.460561,46.638503
damma_1946_e1,Dammagletscher,1946,E,18/07/2018, ,8.460423,46.638401
damma_1992_a1,Dammagletscher,1992,A,18/07/2018, ,8.459947,46.636663
damma_1992_b1,Dammagletscher,1992,B,18/07/2018, ,8.459777,46.636761
damma_1992_c1,Dammagletscher,1992,C,18/07/2018, ,8.459491,46.636842
damma_1992_d1,Dammagletscher,1992,D,18/07/2018, ,8.459196,46.636883
damma_1992_e1,Dammagletscher,1992,E,18/07/2018, ,8.458964,46.636928
damma_2003_a1,Dammagletscher,2003,A,18/07/2018,15:20,8.459249,46.635589
damma_2003_b1,Dammagletscher,2003,B,18/07/2018,15:35,8.458962,46.635632
damma_2003_c1,Dammagletscher,2003,C,18/07/2018,15:50,8.458729,46.635769
damma_2003_d1,Dammagletscher,2003,D,18/07/2018,16:10,8.458485,46.636071
damma_2003_e1,Dammagletscher,2003,E,18/07/2018,16:23,8.458243,46.63621
explo_1600_a2,Exploradores,1600,A,05/02/2019,15:58,-73.1811,-46.48616
explo_1600_b2,Exploradores,1600,B,05/02/2019,17:03,-73.18041,-46.48622
explo_1600_c2,Exploradores,1600,C,05/02/2019,17:24,-73.17874,-46.48655
explo_1600_d2,Exploradores,1600,D,05/02/2019,16:37,-73.18335,-46.48507
explo_1600_a1,Exploradores,1600,D1,28/02/2018,17:02,-73.182199,-46.48594
explo_1600_b1,Exploradores,1600,D2,28/02/2018,17:10,-73.182094,-46.486229
explo_1600_c1,Exploradores,1600,D3,28/02/2018,17:20,-73.182013,-46.486377
explo_1600_d1,Exploradores,1600,D4,28/02/2018,17:26,-73.181909,-46.486454
explo_1600_e1,Exploradores,1600,D5,28/02/2018,17:31,-73.1817,-46.486406
explo_1600_e2,Exploradores,1600,E,05/02/2019,16:46,-73.18277,-46.48589
