"lon","lat","name","glacier","dating","date","nmonths","meanS","meanT","ndvi","twi","slope","slope_buf","tpi","nmonths_new","meanS_new","meanT_new"
-19.36506,63.532957,"solhe_2005_c1","Solheimajokull","2005","12/07/2019",9,83.1005378354123,7.89769938588142,0.12534330836283,14.9112294467756,5.78474724997868,11.1762454576048,-3.25658256979078,9,83.1005378354123,6.81882384750578
-19.3647292,63.532957,"solhe_2005_d1","Solheimajokull","2005","12/07/2019",9,82.9324915906963,8.07060299979316,0.123129224353155,14.101931381695,4.95695797064556,11.0586314432152,0.69312851933509,9,82.9324915906963,6.80664444632
-19.364423,63.532895,"solhe_2005_e1","Solheimajokull","2005","12/07/2019",9,83.1718688137144,7.52710224191348,0.230888149049675,12.5387020725161,11.1440788271144,11.0367676873334,-4.53418092937565,9,83.1718688137144,6.78633272978995
12.224112,46.515806,"sorap_1850_a1","Sorapiss Centrale","1850","24/07/2018",5,94.5536650729808,9.72956790924072,0.337324967767281,13.6278379266891,19.3549053192719,26.4730545443075,1.20292735597377,8,68.230861192135,6.48506204783916
12.224029,46.515944,"sorap_1850_b1","Sorapiss Centrale","1850","24/07/2018",5,94.5536650729808,9.72956790924072,0.281717199099627,13.6278379266891,19.3549053192719,26.7196896425271,1.20292735597377,8,68.230861192135,6.48506204783916
12.223931,46.516092,"sorap_1850_c1","Sorapiss Centrale","1850","24/07/2018",5,94.7162129288839,10.0627340316772,0.343639340101204,13.3899703500403,16.8041993062259,27.2701277729308,-2.12981040559544,8,68.2640080114268,6.60190314054489
12.223828,46.516213,"sorap_1850_d1","Sorapiss Centrale","1850","24/07/2018",5,94.7162129288839,10.0627340316772,0.389838851581279,13.3899703500403,16.8041993062259,27.7472648998381,-2.12981040559544,8,68.2640080114268,6.60190314054489
12.223587,46.516306,"sorap_1850_e1","Sorapiss Centrale","1850","24/07/2018",5,94.8292399161253,10.1739549636841,0.357659621511514,12.2989435262342,14.348699238171,29.2764311882608,3.10105650161404,8,68.3120925628886,6.72120234370232
12.224898,46.51351,"sorap_1925_a1","Sorapiss Centrale","1925","24/07/2018",6,83.9953249763381,7.20796684424082,0.133405627426707,9.94061470681729,9.56369614816758,22.1992108095649,1.01415340002768,8,69.9154900894772,5.35327522456646
12.224777,46.513634,"sorap_1925_b1","Sorapiss Centrale","1925","24/07/2018",6,83.9097378109756,7.304283618927,0.130314700454832,9.5305485552777,9.54772963589847,21.9664481336202,2.12433085823068,8,69.7190291878793,5.42807096242905
12.224578,46.513751,"sorap_1925_c1","Sorapiss Centrale","1925","24/07/2018",6,83.6617247082809,7.50788293282191,0.158749790468641,10.0005574999836,3.72731720487825,22.1112602873591,2.14044975819797,8,69.2632187627398,5.47756975889206
12.224222,46.513994,"sorap_1925_d1","Sorapiss Centrale","1925","24/07/2018",6,83.5944462221176,7.53537221749624,0.140610333996151,9.26629880266392,7.8536847083638,22.8926797183972,1.96400389392511,8,69.0957797120139,5.5197686702013
12.224035,46.514165,"sorap_1925_e1","Sorapiss Centrale","1925","24/07/2018",6,83.3157719916581,7.26054710149765,0.159991023032291,13.1351437601975,14.4129413138697,23.7871265558857,3.63470021869443,8,68.5305739378926,5.51542420685291
12.225448,46.513257,"sorap_1985_a1","Sorapiss Centrale","1985","24/07/2018",7,76.9402659270909,5.32406730311258,0.155156472544509,9.26875302190471,24.410798751021,22.8420849873778,0.377827248481026,8,70.8851546415003,5.16519521176815
12.225349,46.513091,"sorap_1985_b1","Sorapiss Centrale","1985","24/07/2018",7,76.8955953518604,5.20540768759591,0.147952584986452,9.21713256443731,27.0129660327595,22.9353346013301,0.565154118873579,8,70.884506071374,5.04704031348228
12.225224,46.512906,"sorap_1985_c1","Sorapiss Centrale","1985","24/07/2018",6,84.3499207347527,6.39140160878499,0.150827068963882,9.29729828282739,29.3383430844715,22.9048197431575,-0.00266833453224535,8,70.3100548506728,4.9761503636837
12.225227,46.512735,"sorap_1985_d1","Sorapiss Centrale","1985","24/07/2018",6,84.3499207347527,6.39140160878499,0.143463144577188,9.29729828282739,29.3383430844715,23.0102708799347,-0.00266833453224535,8,70.3100548506728,4.9761503636837
12.225243,46.512561,"sorap_1985_e1","Sorapiss Centrale","1985","24/07/2018",6,84.3844192777815,6.24406941731771,0.14744406162494,9.25669293908143,33.144195099835,22.7218867255362,1.4249371482797,8,70.2212736312716,4.83940878510475
12.222548,46.511509,"sorap_2009_a1","Sorapiss Centrale","2009","24/07/2018",6,82.9799346922443,6.74051596721013,0.0965516110823098,12.8545838911441,13.02951372481,30.003906105411,1.87748860019019,7,74.6007756003134,6.06693530082703
12.222322,46.511765,"sorap_2009_b1","Sorapiss Centrale","2009","24/07/2018",5,93.5332898446929,8.50979475975037,0.101470762900066,13.3878938544679,13.4057791966952,28.9830703075209,-0.220135619239045,7,74.1904917650919,6.03896069526672
12.22203,46.51185,"sorap_2009_c1","Sorapiss Centrale","2009","24/07/2018",5,93.595796860703,8.49844102859497,0.106396058490221,12.8762725541193,13.5716353946179,30.0629441576986,2.07671135036298,7,73.8437535383959,5.91335252353123
19.93458,69.3941,"stein_1875_a1","Steindalsbreen","1875","28/08/2019",2,83.3279270801109,13.2594742774963,0.156928384588366,10.0792988313644,4.61819419865046,12.9904825361541,0.891587477451594,3,64.4189003981755,8.06965414683024
19.93472,69.39295,"stein_1875_b1","Steindalsbreen","1875","28/08/2019",3,65.3677277647725,10.7334054311117,0.121566799864798,9.13932864620434,6.22918884474887,15.4573629582698,2.41315217801298,3,65.3677277647725,8.19203130404154
19.93968,69.3918,"stein_1875_c1","Steindalsbreen","1875","28/08/2019",3,79.5695792707034,11.9996879895528,0.152009436983554,8.6743798565948,12.283027412213,18.7059181558772,3.13242013136482,3,79.5695792707034,9.9327499071757
19.94528,69.39162,"stein_1875_d1","Steindalsbreen","1875","28/08/2019",3,85.6245736996999,12.7025990486145,0.319327062019326,9.56686915965697,16.5696266428258,18.2912290774863,0.266143486767476,3,85.6245736996999,10.7463294665019
19.94695,69.39095,"stein_1875_e1","Steindalsbreen","1875","28/08/2019",3,86.5774119383575,12.5647786458333,0.375081953674311,9.66653891300125,18.9478428353318,14.9779197453552,2.94217078968654,4,70.368576358853,8.23024927265942
19.92987,69.39525,"stein_1915_a1","Steindalsbreen","1915","28/08/2019",2,68.0173630035759,12.4428024291992,0.100474250448709,9.03063602921988,22.8037909172239,14.1621912003689,-1.58195472219791,2,68.0173630035759,8.83944773674011
