Glacier	uniqPlot	Year	Plot	lon	lat	sper.q1	bact.q1	coll.q1	olig.q1	inse.q1	euka.uni.q1	euka.ani.q1	fung.q1	sper.q0	bact.q0	coll.q0	olig.q0	inse.q0	euka.uni.q0	euka.ani.q0	fung.q0	glacier	time	ph1	c	n	p	ph	lg_n	lg_p	lg_time	ndvi	twi	meanT_new								
agola	agola_1973_a	1973	a	10.85676	46.1524	1.79126717	8.90579513	1	1.640056492	1	1	1	1	2	12	0	2	1	0	0	0	Agola	45	8.64	12.5314	0.0351	804.8035387	8.64	-3.098873032	6.690598196	3.80666249	0.10014797	14.06495254	8.793260717								
agola	agola_1973_b	1973	b	10.85699	46.15237	1	4.173382017	1	1	1	1	1	1	0	6	0	0	0	0	0	0	Agola	45	8.69	12.5321	0.0304	1987.088959	8.69	-3.208925494	7.594426012	3.80666249	0.08764678	13.48875132	8.67096467								
agola	agola_1973_c	1973	c	10.85691	46.15254	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	Agola	45	8.68	12.3938	0.0122	1401.344164	8.68	-3.80766299	7.245187172	3.80666249	0.098704804	10.79181881	8.693975544								
agola	agola_1973_d	1973	d	10.85674	46.15248	1	3.39423558	1	1	1	1	1	1	0	5	0	0	0	0	1	0	Agola	45	8.77	12.4933	0	1275.87673	8.77	-4.605170186	7.151388853	3.80666249	0.093565496	12.1382672	8.827238941								
agola	agola_1994_a	1994	a	10.85701	46.15166	1	67.41332142	1	1	1.946442836	8.442429009	3.338219086	10.83514425	0	95	1	0	3	11	4	19	Agola	24	8.32	11.4506	0	2479.884153	8.32	-4.605170186	7.815967126	3.17805383	0.093795218	12.43204616	8.513427258								
agola	agola_1994_b	1994	b	10.85708	46.15178	1	5.269355466	1	1	1	1	1	1.962906195	0	7	0	0	0	0	0	2	Agola	24	8.36	11.9293	0.0121	1411.394724	8.36	-3.81217767	7.25233366	3.17805383	0.090804057	12.43204616	8.513427258								
agola	agola_1994_c	1994	c	10.85711	46.15197	1	7.307097943	1	1	1	1	1	1	0	10	0	0	0	0	0	0	Agola	24	8.59	12.6506	0.035	1029.968398	8.59	-3.101092789	6.937283399	3.17805383	0.094198985	13.84074562	8.626175976								
agola	agola_1994_d	1994	d	10.85733	46.15204	1	6.440743197	1	1	1.163603273	1	1	1	0	11	0	0	2	0	0	0	Agola	24	8.48	12.6584	0.0304	1176.022513	8.48	-3.208925494	7.069893272	3.17805383	0.09025605	13.95173686	8.496094751								
agola	agola_1994_e	1994	e	10.8574	46.15222	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	Agola	24	8.67	12.6628	0.0317	1000.507394	8.67	-3.17725415	6.908262544	3.17805383	0.10163274	12.27536989	8.558671284								
agola	agola_2003_a	2003	a	10.85741	46.15178	1	57.86549646	1	1	1	1	1	1	1	80	0	1	0	0	0	1	Agola	15	8.57	12.2342	0.0298	1706.300255	8.57	-3.223888367	7.442082712	2.708050201	0.096236486	13.12341634	8.373385859								
agola	agola_2003_b	2003	b	10.8575	46.15204	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	Agola	15	8.77	12.666	0.0304	1225.424944	8.77	-3.208925494	7.111042956	2.708050201	0.096546511	13.95173686	8.496094751								
agola	agola_2003_c	2003	c	10.85772	46.152	1	7.516307345	1	1	1	1	1	1	0	9	0	0	0	0	0	0	Agola	15	8.83	12.5706	0.0105	1493.800944	8.83	-3.887330393	7.30907912	2.708050201	0.084491975	13.82151864	8.392979527								
agola	agola_2003_d	2003	d	10.85795	46.15208	1	17.54260824	1	1	1	1	1	1	0	24	0	0	0	0	0	0	Agola	15	8.7	12.3263	0.0289	642.6834303	8.7	-3.246761028	6.465652271	2.708050201	0.087842647	13.82151864	8.392979527								
agola	agola_2017_a	2017	a	10.85793	46.15157	1	59.01216319	1	1	1.027440852	15.95629129	2.13561493	7.815318004	0	104	1	0	2	32	3	36	Agola	1	8.3	12.5615	0.0114	4369.956239	8.3	-3.844364357	8.382508274	0	0.09635077	10.96793344	7.855052996								
agola	agola_2017_b	2017	b	10.85784	46.15157	1	73.27502953	1	1	1	12.58316486	1	12.71438747	0	140	0	0	0	29	0	27	Agola	1	8.02	12.0013	0.0541	7816.064456	8.02	-2.747310915	8.96393644	0	0.085898519	10.96793344	7.855052996								
agola	agola_2017_c	2017	c	10.85795	46.15195	1	111.3384634	1	1	1	1	1	1.644480553	1	185	0	1	1	0	0	2	Agola	1	8.43	12.3773	0.0201	3566.629889	8.43	-3.503230107	8.17937642	0	0.081281367	13.03647452	8.313961697								
agola	agola_2017_d	2017	d	10.85807	46.15185	1	53.03364864	1	1	1	1	1	1	0	80	0	1	0	0	0	0	Agola	1	8.5	12.547	0.0313	2750.90333	8.5	-3.186892779	7.91968462	0	0.096044695	13.84264248	8.003665447								
agola	agola_2017_e	2017	e	10.85821	46.15196	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	Agola	1	8.57	12.7197	0.0118	1339.566856	8.57	-3.825845309	7.200101599	0	0.091709532	13.03647452	8.313961697								
agola	agola_2017_f	2017	f	10.85828	46.15191	1	6.849218744	1	1	1	1	1	1	0	9	0	1	0	0	0	0	Agola	1	8.63	12.7972	0	1434.566452	8.63	-4.605170186	7.268617958	0	0.097539796	13.03647452	8.313961697								
amola	amola_1850_a	1850	a	10.704174	46.213158	2.428412303	71.89944779	1.117031967	1.076602596	2.956654131	4.968913479	13.17000301	13.81487553	7	139	2	2	11	5	16	49	Amola	168	6.75	0.4422	0	2284.959064	6.75	-4.605170186	7.734103388	5.123963979	0.259506471	8.660799356	7.793023547								
amola	amola_1850_b	1850	b	10.703835	46.213278	2.950448128	57.44655466	2.243072113	1.756530474	7.751778	2.560998745	6.380366958	10.89701886	5	94	4	3	14	3	8	55	Amola	168	7.19	0.1374	0	1332.633427	7.19	-4.605170186	7.194912284	5.123963979	0.228872733	8.439342205	7.728907426								
amola	amola_1850_c	1850	c	10.703499	46.213338	2.563113022	101.7477892	3.724244368	2.198985181	6.536524024	3.829662587	9.114543898	31.68496256	5	239	6	4	18	4	13	81	Amola	168	6.11	0.347	0.0264	6689.748289	6.11	-3.313186504	8.808331527	5.123963979	0.231665609	8.220402114	7.664762219								
amola	amola_1850_d	1850	d	10.703238	46.213423	5.577092865	63.11471195	3.041756893	2.063886294	5.107528914	5.333913884	7.858210555	15.40973783	11	122	5	3	13	6	13	80	Amola	168	5.88	0.68	0.0454	11306.36294	5.88	-2.893175685	9.333120939	5.123963979	0.250773315	8.576934803	7.820586363								
amola	amola_1850_e	1850	e	10.702985	46.213657	1.670837621	76.73955408	1	1.02286352	3.263034633	6.502878053	4.831268158	10.5422109	2	163	0	2	8	8	9	59	Amola	168	7.43	0.1118	0	906.5681303	7.43	-4.605170186	6.809666185	5.123963979	0.113894492	8.576934803	7.820586363								
amola	amola_1925_a	1925	a	10.70055	46.214598	3.326064793	225.9347857	1	1	2.903996054	12.02156935	8.992559458	22.48888808	11	477	1	0	6	16	14	79	Amola	93	8.25	0.0454	0	347.5160546	8.25	-4.605170186	5.850810864	4.532599493	0.131542658	8.606963879	7.051278869								
amola	amola_1925_b	1925	b	10.700605	46.214667	1.575447504	74.87130052	1	1.02165793	3.341172209	1	3.429170168	34.22636111	2	144	0	2	6	1	5	67	Amola	93	7.92	0.0367	0	506.1698715	7.92	-4.605170186	6.226872327	4.532599493	0.145036573	8.704655947	7.142460903								
amola	amola_1925_c	1925	c	10.700958	46.214875	2.24011783	100.4640772	1	1	2.674888989	4.568625611	8.549633862	45.71640838	10	171	0	0	5	6	11	90	Amola	93	7.75	0.1523	0	1523.416077	7.75	-4.605170186	7.328710511	4.532599493	0.164228154	9.163460989	7.191683372								
amola	amola_1925_d	1925	d	10.701196	46.214892	2.833407671	89.43314872	1	1	1	4.164011228	7.027475733	33.55452509	6	151	0	0	1	6	11	71	Amola	93	8.63	0.0814	0	1093.653126	8.63	-4.605170186	6.997278863	4.532599493	0.140505167	9.366169236	7.304486076								
amola	amola_1925_e	1925	e	10.701278	46.214928	1.83723705	87.0647335	1	2.643493978	3.606514274	18.01846661	7.932844628	36.89745835	4	140	0	4	10	32	17	110	Amola	93	6.94	0.2809	0.0161	3209.870586	6.94	-3.645819965	8.073985899	4.532599493	0.132516938	9.366169236	7.304486076								
amola	amola_2003_a	2003	a	10.694079	46.217036	1.028299514	55.88859783	1	1	1.14641879	10.24090042	3.646713425	11.07220975	3	80	0	1	2	12	5	52	Amola	15	7.74	0.0199	0	435.3721266	7.74	-4.605170186	6.076201129	2.708050201	0.088577375	10.47357528	7.592793798								
amola	amola_2003_b	2003	b	10.69412	46.2169	1.997532119	76.03411226	1	1	1	2.522197124	3.345999748	14.95066139	2	138	0	1	1	3	4	51	Amola	15	7.64	0.0179	0	525.2646661	7.64	-4.605170186	6.263902262	2.708050201	0.091225718	10.47357528	7.592793798								
amola	amola_2003_c	2003	c	10.694246	46.216723	1	45.19563157	1	1.023116205	1.15476914	1.998804381	1	9.613089927	0	106	0	2	2	2	1	14	Amola	15	7.61	0.0214	0	780.7908898	7.61	-4.605170186	6.660307367	2.708050201	0.086834831	10.0693015	7.50758791								
amola	amola_2003_d	2003	d	10.694424	46.216554	1.9288542	126.9767519	1	1	1.998518663	21.3908176	6.60281491	9.593740447	2	312	0	1	2	32	11	53	Amola	15	7.49	0.0174	0	991.2487234	7.49	-4.605170186	6.898965485	2.708050201	0.127817497	10.0693015	7.50758791								
amola	amola_2003_e	2003	e	10.694334	46.216491	1.433833438	88.12151078	1	1	1.858373061	3.902699228	3.603946203	18.9376578	7	146	0	0	4	5	4	41	Amola	15	7.69	0.0161	0	709.5197792	7.69	-4.605170186	6.564588374	2.708050201	0.113447583	10.15006362	7.46690588								
baras	baras_1865_a	1865	a	77.582408	32.30568	1	42.66291344	1	1	1	4.905813905	3.952266958	24.52747734	1	68	0	0	1	9	5	68	Bara Shigri	154	7.1	0.405575573	0.036252908	2050.998321	7.1	-3.073630932	7.626081939	5.036952602	0.083522747	16.04423774	7.680577531								
baras	baras_1865_b	1865	b	77.582113	32.305546	3.171850238	20.55860734	1	1	1.153566041	1	1.944664499	25.42718699	6	32	0	0	4	0	2	61	Bara Shigri	154	6.39	0.740839958	0.059312493	3128.595605	6.39	-2.669130121	8.048339494	5.036952602	0.162880652	10.95891319	7.688675925								
baras	baras_1865_c	1865	c	77.581637	32.305646	1.208315746	37.67316721	1	1	1.537719694	6.75347139	2.504605911	23.10954715	2	93	1	0	2	9	4	61	Bara Shigri	154	7.26	0.984812081	0.094367854	4411.861497	7.26	-2.25983356	8.392051988	5.036952602	0.147847068	10.05373048	7.700760573								
baras	baras_1865_d	1865	d	77.581301	32.305718	2.837812952	16.04868544	1	1	1	4.048539614	3.940527424	17.88972341	5	19	1	0	1	7	7	61	Bara Shigri	154	8.2	1.824094653	0.028440179	1081.178559	8.2	-3.25865203	6.985806984	5.036952602	0.115516332	10.08110043	7.715424731								
baras	baras_1865_e	1865	e	77.58099	32.305991	3.674778093	20.6873057	1	1	1	2.081845937	3.890734326	36.94833106	6	29	0	0	1	3	4	52	Bara Shigri	154	7.63	2.113545418	0.040591177	1742.928719	7.63	-2.983978093	7.463322149	5.036952602	0.097032406	16.5651079	7.714560986								
baras	baras_1905_a	1905	a	77.582948	32.300573	1	43.67498574	1	1	1	7.946312007	4.075224117	33.72968631	0	69	0	0	0	12	5	57	Bara Shigri	114	6.41	0.370445162	0.024730243	22168.74108	6.41	-3.360144421	10.00643852	4.736198448	0.150943445	12.68730933	7.470150642								
baras	baras_1905_b	1905	b	77.582521	32.30076	3.878896042	42.09850673	1	1	1	7.101553702	1.653299747	10.80049705	5	70	1	0	1	12	2	65	Bara Shigri	114	6.6	0.77088058	0.047098342	5231.769433	6.6	-2.862980194	8.562504824	4.736198448	0.215505535	11.30163683	7.505913824								
baras	baras_1905_c	1905	c	77.582072	32.301009	1	48.32510217	1	1	1	5.848461021	2.26836327	29.19444388	1	116	0	0	0	9	3	69	Bara Shigri	114	6.56	0.333109051	0	3721.813172	6.56	-4.605170186	8.22196624	4.736198448	0.152683466	13.83871616	7.5243086								
baras	baras_1905_d	1905	d	77.581677	32.300974	1	35.40119561	1	1	1	6.389056459	5.172980049	27.31674878	1	74	1	0	1	9	6	65	Bara Shigri	114	5.7	0.462998122	0.035638034	8442.243309	5.7	-3.087013824	9.041003347	4.736198448	0.197890533	10.55573444	7.507989742								
baras	baras_1905_e	1905	e	77.581251	32.301114	1	31.00032947	1	1	1	4.288862435	1.802909807	15.14920285	1	37	0	0	0	5	2	54	Bara Shigri	114	6.23	0.519323945	0.042235717	7429.803725	6.23	-2.951988781	8.913254721	4.736198448	0.191618824	10.12991545	7.51426509								
baras	baras_1965_a	1965	a	77.591846	32.281947	4.330989592	65.08704651	1.110343809	1	1.68956039	2.421953056	1.953970481	22.04385085	6	90	2	0	7	3	2	110	Bara Shigri	54	6.95	0.140119225	0	1299.606807	6.95	-4.605170186	7.169817041	3.988984047	0.1555225	11.82015307	6.090412237								
baras	baras_1965_b	1965	b	77.591672	32.28181	1	86.04615451	1	1	1.831679822	4.377507361	2.955038849	29.29146859	1	130	1	0	3	7	3	83	Bara Shigri	54	6.75	0.182722434	0.013412837	1759.603895	6.75	-3.75447082	7.472844003	3.988984047	0.130950995	11.96740894	6.108028337								
baras	baras_1965_c	1965	c	77.591521	32.281524	1.561506257	40.80815886	1.604903733	1	3.352373346	7.793862142	2.289676436	25.35172023	2	58	2	0	4	9	3	75	Bara Shigri	54	7.28	0.063471362	0	951.1219731	7.28	-4.605170186	6.857642312	3.988984047	0.064553683	11.68773481	6.082446128								
baras	baras_1965_d	1965	d	77.591465	32.281302	1	26.53566239	1	1	1.913651251	3.487237834	1	28.13305115	0	41	0	0	2	4	1	72	Bara Shigri	54	6.85	0.337274611	0	4838.086484	6.85	-4.605170186	8.484274567	3.988984047	0.073840537	11.50266771	6.059716173								
baras	baras_1965_e	1965	e	77.591349	32.281061	1	8.536303494	1.0384614	1	1.506293231	3.479103701	1	44.68773927	0	12	2	0	3	4	1	85	Bara Shigri	54	6.18	0.865112543	0.063734047	8240.798177	6.18	-2.607290617	9.016852484	3.988984047	0.054239431	11.20518359	6.068192624								
baras	baras_1989_a	1989	a	77.586942	32.274784	1	20.61471231	1	1	1.619168982	3.708103367	2.268740665	14.90515945	0	68	0	0	2	5	3	29	Bara Shigri	30	6.94	0.16848585	0	815.2199259	6.94	-4.605170186	6.703457925	3.401197382	0.036020725	11.75465345	5.498153254								
baras	baras_1989_b	1989	b	77.587192	32.274925	1	21.69343851	1	1	1	2.404575754	1.998734686	12.84726432	1	33	0	0	0	3	2	26	Bara Shigri	30	6	0.37280345	0	9410.424424	6	-4.605170186	9.149573335	3.401197382	0.035268075	9.504768329	5.529171363								
baras	baras_1989_c	1989	c	77.587381	32.275011	1	59.9773741	1	1	1.153822053	8.634068989	4.471513831	24.62809049	0	113	1	0	2	13	7	59	Bara Shigri	30	6.33	0.356641084	0	6565.509316	6.33	-4.605170186	8.789585364	3.401197382	0.058062366	9.504768329	5.529171363								
baras	baras_1989_d	1989	d	77.587553	32.274636	1.07087204	33.93205348	1	1	1.021220214	3.850721807	1	14.71214431	2	57	1	0	2	4	1	32	Bara Shigri	30	6.25	0.067138076	0	7387.823142	6.25	-4.605170186	8.907588402	3.401197382	0.034971473	13.49305026	5.468627453								
baras	baras_1989_e	1989	e	77.587932	32.274516	1	30.61256446	1	1	1.146866498	2.506465842	1.94387396	10.62930455	0	39	1	0	2	5	2	34	Bara Shigri	30	7.22	0.09776365	0	611.3288865	7.22	-4.605170186	6.41563509	3.401197382	0.041011428	15.08491758	5.398191735								
baras	baras_1998_a	1998	a	77.585843	32.273857	1	9.964998383	1.497178572	1	1.535861556	13.02958245	1	9.32904504	0	20	2	0	3	21	0	25	Bara Shigri	21	5.88	0.04937138	0	10250.28168	5.88	-4.605170186	9.235060465	3.044522438	0.039487201	16.55861937	4.942608982								
baras	baras_1998_b	1998	b	77.586172	32.273399	1	20.39255244	1	1	1	10.42640721	1.937819241	12.87011932	0	79	1	0	0	14	2	26	Bara Shigri	21	6.25	0.051071599	0	6568.671097	6.25	-4.605170186	8.790066823	3.044522438	0.034187401	12.75193791	5.221653387								
baras	baras_1998_c	1998	c	77.586098	32.273232	1	20.94146827	1	1	1	13.64432903	1	10.58083126	0	56	0	1	1	21	1	34	Bara Shigri	21	6.01	0.063446343	0	9736.172139	6.01	-4.605170186	9.183603315	3.044522438	0.038192298	14.54206743	5.171298087								
baras	baras_1998_d	1998	d	77.586328	32.272957	1	10.45281553	1	1	1	2.905984019	4.236013935	13.00782464	0	34	0	0	1	3	5	27	Bara Shigri	21	5.86	0.115050405	0	7768.985432	5.86	-4.605170186	8.95789486	3.044522438	0.039962955	13.53890666	5.134967729								
baras	baras_1998_e	1998	e	77.586484	32.27286	1	23.88392973	1	1	1	7.992667108	1.560351296	13.61239082	0	60	0	0	1	10	2	35	Bara Shigri	21	6.68	0.078120261	0	385.044447	6.68	-4.605170186	5.953358774	3.044522438	0.036863384	12.9440307	5.160847187								
baras	baras_2010_a	2010	a	77.585256	32.271829	1	56.70944193	1	1	1.763008226	2.889871666	5.766016626	8.393365574	0	189	0	0	2	3	9	28	Bara Shigri	9	6.39	0.09069854	0	6922.785288	6.39	-4.605170186	8.842573466	2.197224577	0.0395651	12.53230941	4.722149543								
baras	baras_2010_b	2010	b	77.585281	32.271662	1	21.32990788	1	1	1.97178349	2.596462612	1.228516065	8.420311871	1	78	0	0	2	3	2	20	Bara Shigri	9	6.36	0.121441968	0	4138.673633	6.36	-4.605170186	8.328130637	2.197224577	0.050609316	12.53230941	4.722149543								
baras	baras_2010_c	2010	c	77.585246	32.271509	1	35.96682469	1	1	1	1	4.805592686	7.587498988	0	77	0	0	1	0	5	12	Bara Shigri	9	6.61	0.147657409	0	1064.742386	6.61	-4.605170186	6.970488158	2.197224577	0.059843846	11.89236888	4.676607482								
baras	baras_2010_d	2010	d	77.585456	32.271548	1	15.33932771	1	1	1.655301996	2.889402755	3.00988586	5.949132862	0	26	0	1	3	3	4	19	Bara Shigri	9	6.17	0.150240734	0	11107.04606	6.17	-4.605170186	9.315334967	2.197224577	0.051168538	11.1034572	4.733824641								
baras	baras_2010_e	2010	e	77.585606	32.271387	1.469645368	15.80668429	1	1	2.770884332	3.559585436	6.382548911	12.79644649	4	29	0	0	4	4	9	24	Bara Shigri	9	6.91	0.194228545	0	1692.540142	6.91	-4.605170186	7.433985722	2.197224577	0.061496108	11.1034572	4.733824641								
cipre	cipre_1860_a	1860	a	-70.40381	-34.54913	1	11.69517858	1.066093318	1	5.306176613	1	1	16.90565369	1	16	4	0	9	0	0	46	Cipreses	159	4.85	2.290138006	0.065617964	21294.20114	4.85	-2.582061409	9.966190068	5.068904202	0.044949489	11.20768082	11.31073768								
cipre	cipre_1860_b	1860	b	-70.40253	-34.5494	1	47.61392007	1	1	1.522380321	11.71018699	2.349468947	18.35758838	1	70	1	0	5	18	6	45	Cipreses	159	5.1	0.186770603	0	16075.33827	5.1	-4.605170186	9.685041592	5.068904202	0.148919644	11.85047373	11.08156778								
cipre	cipre_1860_c	1860	c	-70.40274	-34.5494	1.940273129	14.35725124	2.52171605	1	3.25948611	3.876271049	4.27329911	20.17853068	2	20	5	0	5	4	5	48	Cipreses	159	5.27	1.892059565	0.099657252	48583.60889	5.27	-2.210395665	10.79104149	5.068904202	0.092933854	11.87151035	11.11863645								
cipre	cipre_1860_d	1860	d	-70.40304	-34.54943	1.011122216	46.62547235	1	1	1.251870371	6.951362095	2.036307448	15.49563191	2	82	1	1	4	9	4	49	Cipreses	159	4.9	4.811927795	0.215104446	39811.20689	4.9	-1.491190781	10.59190373	5.068904202	0.052750656	11.61136328	11.16376013								
cipre	cipre_1860_e	1860	e	-70.40314	-34.54952	1.046253261	19.81246567	1	1	1.608061656	6.158736089	1.972651014	22.66860235	2	26	1	0	3	9	2	44	Cipreses	159	5.07	2.375627995	0.13854982	23096.18636	5.07	-1.906834892	10.04742279	5.068904202	0.049931737	12.76655516	11.20194053								
cipre	cipre_1882_a	1882	a	-70.388	-34.5487	1	17.92940504	1	1	2.628210705	1	5.686024049	11.22040353	1	24	1	0	8	0	6	25	Cipreses	137	5.52	0.735035479	0.018274836	18383.10609	5.52	-3.565783049	9.819187374	4.919980926	0.350280509	13.35525238	11.36290876								
cipre	cipre_1882_b	1882	b	-70.38968	-34.54893	2.089196356	11.9182929	1	1	1.869920444	2.783434509	3.593834735	19.34814494	3	18	0	0	2	3	4	51	Cipreses	137	6.43	0.326456487	0	21856.38135	6.43	-4.605170186	9.992248211	4.919980926	0.18130753	13.5778461	10.68968213								
cipre	cipre_1882_c	1882	c	-70.39033	-34.54908	1.951677531	36.79895025	1	1	4.257954999	3.571149957	1	32.5760266	2	54	0	0	7	4	1	61	Cipreses	137	5.7	1.621192098	0.055688348	37145.77496	5.7	-2.722833726	10.52260531	4.919980926	0.144231274	12.29390124	10.78052892								
cipre	cipre_1882_d	1882	d	-70.39184	-34.54921	1.806804066	16.05438414	1.244133171	1	2.223726132	1	3.00085585	27.92392758	2	20	2	0	7	0	4	63	Cipreses	137	6.03	1.304638743	0.053284001	30685.07398	6.03	-2.760122737	10.33153163	4.919980926	0.436916159	11.66788839	11.23306621								
cipre	cipre_1882_e	1882	e	-70.3929	-34.5499	2.79568645	25.91112405	1.806320435	1	1	1.782897912	3.944607563	33.26517099	5	41	3	0	0	2	4	65	Cipreses	137	5.29	5.367796421	0.296204627	26498.34186	5.29	-1.183501686	10.18483744	4.919980926	0.240831929	11.54673682	11.45582763								
cipre	cipre_1955_a	1955	a	-70.38836	-34.55038	1	40.77823296	2.283163248	1	4.664484509	6.13826013	1.996844662	17.74154648	1	74	6	1	10	7	2	48	Cipreses	64	4.93	2.324725866	0.095883816	31789.55178	4.93	-2.245412857	10.36689295	4.158883083	0.535432238	12.61829354	10.74914579								
cipre	cipre_1955_b	1955	b	-70.38838	-34.55008	1	37.32733549	1.322046819	1	3.78361287	1	4.535365145	5.476784145	1	51	3	1	8	0	5	32	Cipreses	64	6.29	0.200475305	0	10594.80727	6.29	-4.605170186	9.26811928	4.158883083	0.465264811	13.11283124	10.75727603								
cipre	cipre_1955_c	1955	c	-70.3882	-34.54991	1.031822481	15.06048085	1.202180922	1	1.609293295	4.518641671	4.500642759	17.64358881	2	27	2	1	4	5	5	53	Cipreses	64	6.27	2.787229061	0.161966994	8380.327418	6.27	-1.760452714	9.033642264	4.158883083	0.407499159	13.44387566	10.62176065								
cipre	cipre_1955_d	1955	d	-70.38797	-34.54957	1.014623689	81.20235511	1	1	3.526498984	5.352666659	6.698146513	30.90074504	2	110	1	0	7	6	10	117	Cipreses	64	5.32	21.6498394	0.751776576	59018.72192	5.32	-0.272101974	10.98560999	4.158883083	0.385961681	13.60198846	9.812800586								
cipre	cipre_1955_e	1955	e	-70.38787	-34.54937	1.554072721	24.33558771	1.941054438	1	1.630199692	2.886240607	3.056221333	17.97386034	2	33	2	0	4	4	4	52	Cipreses	64	6.09	1.371123314	0.054976005	13098.76064	6.09	-2.733737229	9.480272897	4.158883083	0.467566094	13.48082171	9.716855168								
cipre	cipre_1968_a	1968	a	-70.38326	-34.55221	1	36.27582248	1	1	1	2.60969777	1.424400655	5.1772812	1	66	0	0	1	5	2	19	Cipreses	51	3.84	0.017922459	0	18269.1595	3.84	-4.605170186	9.812969644	3.931825633	0.042261019	13.88980777	10.98394055								
cipre	cipre_1968_b	1968	b	-70.38329	-34.55222	1	14.17872646	1	1	1	1	1.368237126	7.560184398	1	29	0	0	0	1	2	29	Cipreses	51	4.17	0.061967086	0	22325.65354	4.17	-4.605170186	10.01349168	3.931825633	0.045469906	13.88980777	10.98394055								
cipre	cipre_1968_c	1968	c	-70.38333	-34.55227	1	39.40906509	1	1	1.177824117	9.24220318	1	14.39559344	1	81	0	0	4	12	0	54	Cipreses	51	4.1	0.075514704	0	22770.85791	4.1	-4.605170186	10.03323684	3.931825633	0.050443958	13.88980777	10.98394055								
cipre	cipre_1968_d	1968	d	-70.38333	-34.55244	1	28.28767367	1	1	1	1	1	3.201088832	0	46	0	0	0	0	0	14	Cipreses	51	4.41	0.05269764	0	22507.73063	4.41	-4.605170186	10.02161411	3.931825633	0.054349159	15.29635566	11.12516827								
cipre	cipre_1968_e	1968	e	-70.38352	-34.55253	1	19.42374491	1	1	1	1	2.724537558	11.27911355	0	40	0	0	1	1	3	43	Cipreses	51	4.29	0.059399091	0	19543.38939	4.29	-4.605170186	9.88039237	3.931825633	0.056286207	15.16893567	11.22922797								
